factor_id,layer,antecedents_str,consequents_str,n_conditions,conditions_detail,support,confidence,lift_vs_baseline,conf_safe,conf_diff,trigger_description
L2-53,2,Attr45=LOW & Attr56=LOW & Attr57=LOW,Attr24=LOW,3,Attr45 <= -0.0009 AND Attr56 <= 0.0007 AND Attr57 <= 0.0042,0.2011,0.868,10.4079,0.7239,0.1441,"Firm simultaneously satisfies: Attr45=LOW & Attr56=LOW & Attr57=LOW. Among upgrade-overridden firms meeting this condition, confidence=86.8% (vs 72.4% in safe group). Lift vs baseline = 10.4x."
L2-54,2,Attr41=LOW & Attr56=LOW,Attr24=LOW,2,Attr41 <= 0.0688 AND Attr56 <= 0.0007,0.3028,0.8665,10.3903,0.7484,0.1181,"Firm simultaneously satisfies: Attr41=LOW & Attr56=LOW. Among upgrade-overridden firms meeting this condition, confidence=86.7% (vs 74.8% in safe group). Lift vs baseline = 10.4x."
L2-55,2,Attr12=LOW,Attr24=LOW,1,Attr12 <= -0.0183,0.4411,0.8664,10.3884,0.7579,0.1085,"Firm simultaneously satisfies: Attr12=LOW. Among upgrade-overridden firms meeting this condition, confidence=86.6% (vs 75.8% in safe group). Lift vs baseline = 10.4x."
L2-56,2,Attr24=LOW & Attr45=LOW & Attr56=LOW,Attr41=LOW,3,Attr24 <= -0.0017 AND Attr45 <= -0.0009 AND Attr56 <= 0.0007,0.2653,0.8632,10.3503,0.7554,0.1078,"Firm simultaneously satisfies: Attr24=LOW & Attr45=LOW & Attr56=LOW. Among upgrade-overridden firms meeting this condition, confidence=86.3% (vs 75.5% in safe group). Lift vs baseline = 10.4x."
L2-57,2,Attr12=LOW & Attr57=LOW & Attr58=HIGH,Attr24=LOW,3,Attr12 <= -0.0183 AND Attr57 <= 0.0042 AND Attr58 >= 0.9990,0.2255,0.8626,10.343,0.7254,0.1371,"Firm simultaneously satisfies: Attr12=LOW & Attr57=LOW & Attr58=HIGH. Among upgrade-overridden firms meeting this condition, confidence=86.3% (vs 72.5% in safe group). Lift vs baseline = 10.3x."
L2-58,2,Attr45=LOW & Attr57=LOW & Attr58=HIGH,Attr24=LOW,3,Attr45 <= -0.0009 AND Attr57 <= 0.0042 AND Attr58 >= 0.9990,0.2041,0.8613,10.3276,0.7048,0.1565,"Firm simultaneously satisfies: Attr45=LOW & Attr57=LOW & Attr58=HIGH. Among upgrade-overridden firms meeting this condition, confidence=86.1% (vs 70.5% in safe group). Lift vs baseline = 10.3x."
L2-59,2,Attr24=LOW & Attr56=LOW,Attr41=LOW,2,Attr24 <= -0.0017 AND Attr56 <= 0.0007,0.3028,0.859,10.3001,0.7183,0.1407,"Firm simultaneously satisfies: Attr24=LOW & Attr56=LOW. Among upgrade-overridden firms meeting this condition, confidence=85.9% (vs 71.8% in safe group). Lift vs baseline = 10.3x."
L2-60,2,Attr12=LOW & Attr21=LOW,Attr41=LOW,2,Attr12 <= -0.0183 AND Attr21 <= 0.9610,0.2018,0.8571,10.2779,0.646,0.2111,"Firm simultaneously satisfies: Attr12=LOW & Attr21=LOW. Among upgrade-overridden firms meeting this condition, confidence=85.7% (vs 64.6% in safe group). Lift vs baseline = 10.3x."
L2-61,2,Attr12=LOW & Attr24=LOW & Attr30=HIGH,Attr41=LOW,3,Attr12 <= -0.0183 AND Attr24 <= -0.0017 AND Attr30 >= 0.4222,0.2194,0.8567,10.2727,0.6318,0.2249,"Firm simultaneously satisfies: Attr12=LOW & Attr24=LOW & Attr30=HIGH. Among upgrade-overridden firms meeting this condition, confidence=85.7% (vs 63.2% in safe group). Lift vs baseline = 10.3x."
L2-62,2,Attr30=HIGH & Attr58=HIGH,Attr12=LOW & Attr24=LOW,2,Attr30 >= 0.4222 AND Attr58 >= 0.9990,0.2064,0.8544,10.2453,0.7287,0.1258,"Firm simultaneously satisfies: Attr30=HIGH & Attr58=HIGH. Among upgrade-overridden firms meeting this condition, confidence=85.4% (vs 72.9% in safe group). Lift vs baseline = 10.2x."
L2-63,2,Attr45=LOW,Attr24=LOW,1,Attr45 <= -0.0009,0.4014,0.8523,10.2195,0.7294,0.1229,"Firm simultaneously satisfies: Attr45=LOW. Among upgrade-overridden firms meeting this condition, confidence=85.2% (vs 72.9% in safe group). Lift vs baseline = 10.2x."
L2-64,2,Attr12=LOW & Attr25=LOW,Attr41=LOW,2,Attr12 <= -0.0183 AND Attr25 <= 0.0905,0.2584,0.8492,10.1832,0.6441,0.2051,"Firm simultaneously satisfies: Attr12=LOW & Attr25=LOW. Among upgrade-overridden firms meeting this condition, confidence=84.9% (vs 64.4% in safe group). Lift vs baseline = 10.2x."
L2-65,2,Attr12=LOW & Attr24=LOW & Attr25=LOW,Attr41=LOW,3,Attr12 <= -0.0183 AND Attr24 <= -0.0017 AND Attr25 <= 0.0905,0.2324,0.8492,10.1822,0.6673,0.1818,"Firm simultaneously satisfies: Attr12=LOW & Attr24=LOW & Attr25=LOW. Among upgrade-overridden firms meeting this condition, confidence=84.9% (vs 66.7% in safe group). Lift vs baseline = 10.2x."
L2-66,2,Attr12=LOW & Attr24=LOW & cash_to_current_liabilities=LOW,Attr41=LOW,3,Attr12 <= -0.0183 AND Attr24 <= -0.0017 AND cash_to_current_liabilities <= -59.6780,0.2049,0.8481,10.1694,0.6344,0.2137,"Firm simultaneously satisfies: Attr12=LOW & Attr24=LOW & cash_to_current_liabilities=LOW. Among upgrade-overridden firms meeting this condition, confidence=84.8% (vs 63.4% in safe group). Lift vs baseline = 10.2x."
L2-67,2,Attr55=LOW & Attr56=LOW,Attr12=LOW & Attr24=LOW,2,Attr55 <= -66.5770 AND Attr56 <= 0.0007,0.2072,0.8469,10.1547,0.7024,0.1444,"Firm simultaneously satisfies: Attr55=LOW & Attr56=LOW. Among upgrade-overridden firms meeting this condition, confidence=84.7% (vs 70.2% in safe group). Lift vs baseline = 10.2x."
L2-68,2,Attr56=LOW,Attr12=LOW,1,Attr56 <= 0.0007,0.38,0.8452,10.1351,0.731,0.1142,"Firm simultaneously satisfies: Attr56=LOW. Among upgrade-overridden firms meeting this condition, confidence=84.5% (vs 73.1% in safe group). Lift vs baseline = 10.1x."
L2-69,2,Attr12=LOW & Attr24=LOW,Attr41=LOW,2,Attr12 <= -0.0183 AND Attr24 <= -0.0017,0.3723,0.844,10.1205,0.6451,0.1989,"Firm simultaneously satisfies: Attr12=LOW & Attr24=LOW. Among upgrade-overridden firms meeting this condition, confidence=84.4% (vs 64.5% in safe group). Lift vs baseline = 10.1x."
