,group,is_risky,cluster,from_grade,to_grade,transition,high_risk_transition,Attr49,Attr38,Attr25,Attr13,Attr35,working_capital_to_assets,Attr30,Attr24,Attr52,retained_earnings_to_assets,Attr56,Attr55,Attr26,Attr63,Attr41,Attr29,Attr21,Attr43,Attr57,Attr20,Attr58,cash_to_current_liabilities,Attr45,Attr46
2249,risky_upgrade,1,0,CCC,B,CCC→B,1,-0.020167,0.69487,0.25226,-0.06312,-0.016366,0.28123,0.90386,-0.044683,0.39831,0.0,0.38858,2330.0,-0.067077,2.4186,-1.5553,3.9183,1.0452,228.09,-0.13389,163.55,0.61496,-69.19,-0.14087,1.5332
2251,risky_upgrade,1,0,B,BB,B→BB,1,0.015715,0.46362,0.35829,0.005455,0.038644,0.069325,0.22492,0.01397,0.2351,0.002093,0.1149,827.12,0.017525,4.8007,0.48656,4.0767,1.0452,83.804,0.024949,48.689,0.89633,-43.729,0.030137,0.48958
2252,risky_upgrade,1,0,CCC,B,CCC→B,1,-0.16325,0.28562,0.15258,-0.12354,-0.087692,-0.042658,0.74985,-0.15655,0.68496,0.0,0.10808,-1472.0,-0.14233,1.5124,-0.25758,4.5379,0.81904,217.99,-0.62305,153.15,0.9941,-180.11,-0.33633,0.30134
2253,risky_upgrade,1,0,CCC,B,CCC→B,1,0.014091,-0.024459,-0.29155,0.002297,0.034514,0.076413,0.4085,0.006197,0.28341,-0.48609,0.095121,346.0,0.005196,3.4324,1.0356,3.6559,1.0452,103.56,-0.033885,30.178,0.90536,-21.365,0.027515,0.40714
2254,risky_upgrade,1,0,CCC,B,CCC→B,1,0.006736,0.45961,0.003016,0.004444,0.01527,0.1328,0.24066,0.014522,0.1465,-0.028693,0.17591,11714.0,0.006989,6.7985,1.2005,4.9455,1.0452,64.181,0.026762,20.263,0.81735,-8.8959,0.030546,0.45824
2255,risky_upgrade,1,0,CCC,B,CCC→B,1,-0.006009,0.20177,-0.13278,-0.008052,-0.018388,0.015501,0.23907,-0.026417,0.24117,-0.14917,0.83921,1251.0,-0.032893,4.1144,-1.3497,4.9069,1.0452,88.746,-0.13013,9.6865,0.16267,-7.9381,-0.30155,0.12826
2257,risky_upgrade,1,0,B,BB,B→BB,1,0.076524,0.75687,0.71313,0.078266,0.33831,0.62386,-0.043496,0.63115,0.059408,0.0,0.15726,998.18,1.1906,18.186,0.023952,3.2041,1.184,35.658,0.38227,9.468,0.84141,44.825,2.5239,2.2623
2258,risky_upgrade,1,0,B,BB,B→BB,1,0.006179,0.25869,0.21417,0.034948,0.042873,0.16066,0.34863,0.09117,0.19387,0.0,0.019963,1057.0,0.086029,5.263,0.29682,3.8182,1.1786,91.005,0.13088,52.763,0.97279,-27.55,0.095759,0.8424
2259,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.8681929,0.28043,-1.1556,-0.5750552000000001,-0.04066,-0.18061,3.9688,-1.034518,1.0713,-1.880592,0.5079,-4442.0,-0.9360057,0.293002,-0.071712,4.3908,0.37993,252.06,-2.9482139999999997,14.799,1.6584000000000014,-144.7,-10.095080000000001,1.02665
2260,risky_upgrade,1,0,CCC,B,CCC→B,1,0.052489,0.48879,-0.26738,0.019836,0.096003,-0.3141,0.31493,0.03412,0.31125,-0.34945,0.24304,-1351.0,0.058327,3.3858,0.21598,3.6336,1.0452,31.873,0.082213,11.613,0.76058,-81.447,0.62346,0.19378
2262,risky_upgrade,1,0,B,BB,B→BB,1,0.037605,0.66696,0.52057,0.071544,4.5e-05,0.34873,0.18544,0.081531,0.18426,0.0,0.19478,2.1786,0.31749,5.2721,0.075943,5.044,0.97972,139.41,0.092925,59.371,0.78324,20.734,0.24426,1.3211
2264,risky_upgrade,1,0,B,BB,B→BB,1,0.044889,0.26204,0.21404,0.038926,0.21724,-0.061528,0.1939,0.14912,0.19412,0.0,0.1118,-439.0,0.18937,5.3796,0.14417,3.8534,1.0452,61.639,0.54978,22.807,0.90022,-29.792,0.58841,0.34127
2265,risky_upgrade,1,0,BB,BBB,BB→BBB,0,-0.034199,0.34274,-0.23619,-0.003835,-0.023779,0.08212,0.36731,-0.044259,0.35016,-0.19193,-0.012945,56.74,-0.010438,2.8193,1.6087,2.8394,1.0452,144.37,-0.12913,35.274,1.0038,-20.211,-0.25601,0.28677
2266,risky_upgrade,1,0,B,BB,B→BB,1,-0.40613,0.45437,0.43089,-0.090491,-0.16095,-0.36055,0.84555,-0.16362,0.67121,0.0,-0.24969,-3647.0,-0.11343,1.1922,-0.35515,4.005,1.0452,99.334,-0.36793,88.395,1.2055,-267.34,-1.0709,0.29742
2267,risky_upgrade,1,0,BB,BBB,BB→BBB,0,-0.00315,0.2737,0.1814,0.080743,0.059769,0.39722,0.37149,0.072949,0.22588,-0.13554,0.029736,1258.0,0.2131,4.5628,0.1452,3.5006,1.0452,59.519,0.2801,48.113,0.95927,-72.458,0.26629,1.7605
2268,risky_upgrade,1,0,B,BB,B→BB,1,0.006808,0.39851,0.37047,0.02881,0.03968,0.13068,0.25336,0.039905,0.25709,0.0,0.016837,233.0,0.091651,3.9338,0.27617,3.2512,1.0452,111.64,0.067427,40.646,0.9757,-21.687,0.10202,0.45216
2269,risky_upgrade,1,0,B,BB,B→BB,1,0.011289,0.39429,0.071998,0.023004,-0.000773,0.217,0.4265,0.018367,0.26007,-0.002823,-0.000474,5612.0,0.044323,3.827,0.43656,4.4127,1.0452,113.47,0.053437,65.433,0.97748,-36.559,0.047096,1.0056
2270,risky_upgrade,1,0,CCC,B,CCC→B,1,0.015113,0.34484,0.066411,0.019259,0.080893,0.042307,0.28745,0.029063,0.20635,0.018169,0.025501,5066.9,0.055022,4.9729,0.26713,5.0783,1.2743,77.618,0.27359,32.33,0.9745,-28.498,0.064123,0.62529
2271,risky_upgrade,1,0,B,BB,B→BB,1,8e-06,0.45833,0.029503,0.05074,0.048998,-0.041939,0.63206,0.028733,0.36471,0.020089,0.033972,-756.0,0.071323,2.8383,0.32496,4.2559,1.0629,116.57,0.68093,49.123,0.96603,-64.487,0.097452,0.5403
2272,risky_upgrade,1,0,B,BB,B→BB,1,0.035866,0.63254,0.36558,0.024883,0.040151,0.10031,0.37711,0.031895,0.27887,0.1213,0.074112,8322.0,0.059514,3.6566,0.35876,4.9189,1.0452,124.52,0.058289,66.352,0.92156,-38.624,0.12638,0.70345
2273,risky_upgrade,1,0,A,AA,A→AA,0,-0.006717,0.72834,0.71301,0.090621,0.031292,-0.004817,0.49356,0.016306,0.43352,0.008592,-0.092249,-360.04,0.15389,2.1119,0.1406,4.8736,0.80727,161.22,0.012051,59.5,1.0922,-65.632,0.092913,0.6378
2274,risky_upgrade,1,0,CCC,B,CCC→B,1,-0.000599,0.20619,0.019747,0.016172,0.023017,-0.43695,0.38949,0.014975,0.33601,0.0,0.00969,-2578.0,0.038977,3.0009,0.67981,3.7709,1.0452,54.017,0.18026,45.225,0.99062,-112.92,0.043174,0.37651
2275,risky_upgrade,1,0,CCC,B,CCC→B,1,0.057354,-0.34797,-0.34797,0.07682,0.20422,-0.56168,0.42884,0.20613,0.45234,0.20613,0.025622,-3320.1,0.17429,2.2688,0.19018,3.7717,1.2825,88.094,-0.59239,37.941,0.97438,-108.73,0.6484,0.34747
2276,risky_upgrade,1,2,BB,BBB,BB→BBB,0,-0.028926,0.96355,0.93042,0.061881,0.013439,0.58897,-0.26065,0.019145,0.03485,0.0,0.012706,888.76,1.6453,28.514,0.020111,3.1787,1.0452,108.15,0.015344,64.072,0.98226,142.62,0.080746,13.657
2277,risky_upgrade,1,0,CCC,B,CCC→B,1,-0.15459,0.94607,0.51941,-0.10231,-0.064084,0.26342,-0.4928,-0.04241,0.11268,0.0,0.9867157000000019,30.87,-0.78639,7.6867,-0.028051,2.0689,1.0452,51.091,-0.044827,0.0,0.0475312,197.3,0.282825,4.8085
2278,risky_upgrade,1,0,B,BB,B→BB,1,-0.01367,0.39554,0.006944,0.026688,0.031037,0.16557,0.18428,0.000608,0.28016,0.0,0.014331,98.0,0.092126,3.6137,0.24264,2.7722,1.0452,91.189,-0.000854,29.456,0.98506,-2.6326,-0.001973,0.67077
2280,risky_upgrade,1,2,B,BB,B→BB,1,0.22639,0.42002,0.42002,0.25446,0.6873924000000006,0.39256,0.011402,1.1629,0.10615,0.8147872000000004,-0.026376,702.64,2.2931,9.1783,0.012379,3.2528,0.74012,30.02,2.7113,1.2078,1.0264,24.438,53.541990000000055,1.6604
2281,risky_upgrade,1,0,B,BB,B→BB,1,-0.005162,0.44172,0.069558,0.027643,0.074473,0.072921,0.21825,0.043024,0.1329,0.0,0.017643,328.0,0.11664,7.5619,0.24702,3.653,1.0452,45.024,0.50101,13.307,0.98683,-15.904,0.22644,0.47352
2282,risky_upgrade,1,0,B,BB,B→BB,1,0.14475,0.37031,0.34493,0.14939,0.62183,0.35228,0.097977,0.60305,0.16997,0.0,0.15254,694.0,0.58408,6.8928,0.034772,3.2945,1.0452,63.899,0.97541,0.0,0.85184,36.465,0.282825,0.38851
2283,risky_upgrade,1,0,B,BB,B→BB,1,-0.017064,0.30559,0.30559,0.035083,0.02564,-0.004944,0.42846,0.00024,0.44707,0.00024,0.01724,-34.42,0.079849,2.276,0.27375,3.8428,0.89122,155.13,0.000785,71.367,0.98276,-75.571,0.000854,0.54714
2284,risky_upgrade,1,0,B,BB,B→BB,1,-0.12037,0.53183,0.37236,-0.038537,-0.047885,-0.057889,0.45064,-0.064572,0.21212,-0.064572,-0.091383,-3458.6,-0.084355,4.3195,-1.0041,4.7763,0.58733,52.302,-0.17341,22.908,1.0914,-50.177,-1.4538,0.37556
2285,risky_upgrade,1,0,CCC,B,CCC→B,1,-0.16581,0.22845,0.18803,-0.18321,-0.35961,-0.039657,0.54238,-0.24945,0.36694,0.0,0.18015,-162.0,-0.32329,2.1245,-0.11393,3.6112,1.0452,151.7,-1.0919,89.248,0.74941,-77.255,-0.74926,0.57464
2287,risky_upgrade,1,0,CCC,B,CCC→B,1,0.068106,0.093365,0.087732,0.014595,0.066441,0.083558,1.1068,0.071652,1.193,0.0,0.080961,1241.0,0.012378,0.90532,0.4552,4.1718,0.45087,438.14,0.065026,195.27,0.88167,-171.77,0.01349,0.48975
2288,risky_upgrade,1,0,A,AA,A→AA,0,0.064933,0.5535,0.5535,0.074814,0.11514,0.15435,0.25338,0.085521,0.28616,0.10679,0.10484,7725.5,0.34988,3.9038,0.088239,4.6994,1.1702,129.82,0.19293,28.874,0.89516,9.4862,0.94012,1.1108
2289,risky_upgrade,1,0,B,BB,B→BB,1,-0.009992,0.32488,0.006466,0.02893,0.031364,-0.049739,0.50197,0.006466,0.38185,0.0,0.017423,-229.0,0.056607,2.6593,0.41892,3.6631,1.0452,123.78,0.07839,10.901,0.98471,-21.646,0.12061,0.10393
2290,risky_upgrade,1,0,CCC,B,CCC→B,1,0.011405,0.46,0.36156,0.003403,-0.009399,-0.15858,0.22929,0.008757,0.18505,0.0,0.099529,-1582.0,0.014807,5.3615,0.67174,3.999,1.0452,44.248,0.0219,16.166,0.88759,-38.946,0.076834,0.2571
2291,risky_upgrade,1,0,BBB,A,BBB→A,0,0.036546,0.54355,0.54355,0.095615,0.15379,0.033519,0.1828,0.14539,0.19466,0.11057,0.051718,4982.0,0.43463,5.4172,0.0611,5.1721,1.1451,71.831,0.20342,16.993,0.94828,-12.782,1.0491,0.828
2292,risky_upgrade,1,2,CCC,B,CCC→B,1,0.3816567000000009,0.24154,0.24154,0.7681938000000001,0.63944,0.047077,0.34142,0.59531,0.21302,0.59531,-0.61703,3951.3,9.224649999999944,2.903,0.002145,4.9239,0.93216,257.05,2.4647,12.52,1.617,90.585,53.541990000000055,1.9622
2293,risky_upgrade,1,0,BB,BBB,BB→BBB,0,-0.054425,0.35737,0.065246,0.080478,0.035799,-0.16722,0.64944,0.001304,0.46289,-0.016449,0.035441,-1960.2,0.10437,2.2397,0.20461,4.069,0.89988,118.22,-0.25211,34.999,0.96456,-87.987,-0.12046,0.52223
2295,risky_upgrade,1,0,CCC,B,CCC→B,1,0.017542,0.20101,0.19218,0.010527,0.092478,0.007627,0.18283,0.026783,0.18922,0.021599,0.01792,56.0,0.049527,5.3812,0.23771,3.8658,1.1508,66.623,0.11239,20.347,0.98208,-19.869,0.09119,0.70968
2296,risky_upgrade,1,0,BB,BBB,BB→BBB,0,0.059049,0.54329,0.48037,0.077577,0.19569,-0.04419,0.17848,0.19461,0.17165,0.19461,0.06928,-7038.7,0.42676,6.2595,0.076665,5.2022,1.0774,48.304,0.40513,21.41,0.93072,-32.345,1.1614,0.536
2298,risky_upgrade,1,0,B,BB,B→BB,1,0.066501,0.63914,0.34305,0.10471,0.08529,0.54035,-0.20521,0.10256,0.15622,0.0,0.07866,2002.0,0.25879,6.9363,0.12661,3.5688,1.0452,37.677,0.12838,0.0,0.90729,195.71,0.282825,3.7298
2299,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.8681929,0.17518,0.17518,-0.5750552000000001,-0.15191,-0.25542,4.20196500000005,-0.23884,3.241538000000006,-0.20909,-0.6627794,-23645.0,-0.28767,0.293002,-0.16078,4.9665,0.69492,659.6461000000003,-1.1936,274.38520000000074,1.6584000000000014,-937.44,-4.1059,0.55427
2300,risky_upgrade,1,0,B,BB,B→BB,1,-0.066761,0.74351,-0.14303,-0.017693,-0.090266,0.035068,1.2415,-0.026677,0.24255,-0.11637,-0.10017,446.0,-0.014019,3.7219,-0.97855,4.1044,1.0452,104.48,0.19288,92.181,0.97442,-70.431,-0.11711,1.0193
2301,risky_upgrade,1,0,CCC,B,CCC→B,1,0.023032,0.16429,0.075112,0.019801,0.031198,-0.032645,0.96385,0.007222,0.97109,0.0,0.035031,-452.0,0.017887,1.0659,0.69909,4.1413,1.0452,325.25,0.038337,274.38520000000074,0.9653,-304.7,0.007425,0.83224
2302,risky_upgrade,1,0,B,BB,B→BB,1,0.023923,0.19009,0.1004,0.017347,0.12803,0.026796,0.29685,0.080096,0.2684,0.0,0.042514,370.09,0.032652,3.8275,0.3312,4.1402,1.1255,96.972,0.1941,62.579,0.98567,-61.716,0.039105,0.37783
2303,risky_upgrade,1,0,CCC,B,CCC→B,1,-0.19162,0.92345,-0.51888,-0.11497,-0.13481,0.48386,-0.4134,-0.1373,0.074581,-0.37964,-0.15135,250.7,-0.9360057,11.635,-0.025306,2.7144,1.0452,47.413,-0.15078,0.0,1.1198,175.7,0.282825,5.8099
2305,risky_upgrade,1,0,B,BB,B→BB,1,-0.076131,0.000383,0.000383,-0.037716,-0.057575,-0.28077,0.59516,-0.12072,0.58005,-0.12072,-0.064195,-8611.1,-0.061099,1.62,7.4916,4.4867,0.99876,151.52,-2.9482139999999997,86.678,1.0642,-146.66,-0.3246,0.32487
2306,risky_upgrade,1,2,A,AA,A→AA,0,0.18071,0.52765,0.39059,0.19755,0.36098,-0.14984,0.31081,0.34986,0.3099,0.34986,0.1889,-1742.6,0.60919,3.9784,0.052398,4.0656,1.0452,55.804,0.89571,0.65866,0.8111,-39.071,53.541990000000055,0.67561
2307,risky_upgrade,1,0,CCC,B,CCC→B,1,0.039766,0.11314,0.071814,0.020794,-0.13183,-0.12931,0.62569,0.099955,0.52431,0.0,0.019537,-769.0,0.032501,1.7395,0.53628,3.7743,1.3126,169.52,0.26853,22.278,0.80005,-51.683,0.34068,0.13698
2308,risky_upgrade,1,0,B,BB,B→BB,1,-0.12588,0.51287,0.51287,-0.078383,-0.15219,0.26986,0.27046,-0.15983,0.2484,-0.15983,-0.12224,7131.7,-0.28118,3.5873,-0.12489,4.4221,1.1284,157.3,-0.31164,111.43,1.1222,-47.554,-0.34273,0.53857
2309,risky_upgrade,1,0,BB,BBB,BB→BBB,0,0.078054,0.52408,0.51035,0.091599,0.23457,0.31911,0.17277,0.21317,0.18645,0.14628,0.09428,12979.0,0.3806,5.9216,0.057398,4.6093,1.4141,105.22,0.28662,59.667,0.90572,-17.204,0.33906,0.74801
2310,risky_upgrade,1,0,BBB,A,BBB→A,0,-0.027313,0.54984,0.5113,0.079998,0.04635,0.20013,0.23806,0.054421,0.22844,0.039659,0.003532,2484.9,0.29171,4.3931,0.1075,4.094,0.93584,116.92,0.077564,89.899,0.99647,-54.822,0.084183,0.37763
2311,risky_upgrade,1,0,B,BB,B→BB,1,0.001087,0.41379,0.41379,0.02518,0.032121,0.084962,0.37175,0.0033,0.41513,0.008618,0.031546,2055.4,0.07244,2.4873,0.28393,4.3837,0.91313,156.03,0.020826,91.927,0.96845,-74.652,0.025374,0.53027
2312,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.39104,-0.7113339999999999,-1.1013,-0.013222,-0.09587,-0.37569,1.4789,-0.051229,1.1415,-0.053234,-0.32359,-1554.7,-0.012399,0.66185,-0.3655,3.6168,0.94897,162.82,0.048338,132.02,1.3236,-419.76,-0.40447,0.07834487
2313,risky_upgrade,1,0,BB,BBB,BB→BBB,0,0.065726,0.32606,0.22493,0.043626,0.13413,0.27777,0.34555,0.2261,0.31142,-0.002031,0.064467,7306.0,0.095452,3.4318,0.17534,4.42,1.6276,143.94,0.30288,59.396,0.91419,-13.051,0.20285,0.66316
2314,risky_upgrade,1,0,CCC,B,CCC→B,1,-0.011736,0.41888,0.3771,-0.006864,-0.061778,0.080968,0.072038,-0.090132,0.076986,0.0,-0.008317,49.83,-0.087686,12.775,-0.47609,2.7892,1.0506,27.379,-0.17708,23.722,1.0085,-22.027,-0.15373,1.0113
2315,risky_upgrade,1,0,B,BB,B→BB,1,-0.000562,0.39381,0.088981,0.002528,0.000641,0.32198,0.23396,0.079759,0.15861,0.0,0.000183,2873.0,0.002878,6.2832,1.3852,3.9505,1.0301,87.443,-0.076107,40.093,0.99287,-8.5706,-0.022524,0.73539
2316,risky_upgrade,1,0,BB,BBB,BB→BBB,0,0.094236,0.74165,0.574,0.086191,0.28022,0.3851,0.075654,0.49625,0.090518,0.0,0.18847,1902.0,0.83699,12.112,0.029764,3.6936,1.0175,72.788,0.29156,47.683,0.8098,-2.0877,0.53912,1.6861
2317,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.31475,-0.64464,-1.5009,-0.51963,-0.41168,-0.6585,1.6491,-0.76,0.90324,-0.74089,-0.29297,-229.87,-0.3097,0.85439,-0.20539,2.5429,1.0452,243.13,0.55979,156.43,1.1982,-255.38,-1.262,0.39668
2318,risky_upgrade,1,0,CCC,B,CCC→B,1,0.022754,0.18934,0.18934,0.025455,0.023801,-0.011046,1.0209,0.014275,1.0582,0.011514,0.033841,-517.0,0.021478,0.97809,0.89596,4.6703,1.2334,367.37,0.06081,239.53,0.96616,-251.79,0.022214,0.34446
2319,risky_upgrade,1,0,CCC,B,CCC→B,1,-0.054213,0.34548,-0.49752,-0.022488,-0.094894,-0.27738,0.41543,-0.11342,0.25258,-0.94625,-0.038082,-3189.0,-0.053261,3.8111,-1.7084,4.0606,1.0452,52.628,2.1378,10.025,1.031,-49.219,-1.6558,0.13131
2320,risky_upgrade,1,0,BBB,A,BBB→A,0,-0.069438,0.67374,0.48048,0.076944,-0.005938,0.11637,0.40222,0.027002,0.37813,0.0,0.14488,11093.0,0.16106,3.0445,0.2068,4.9792,0.81329,151.1,0.00074,62.798,0.91345,-22.197,0.00377,0.94223
2321,risky_upgrade,1,0,CCC,B,CCC→B,1,-0.12761,0.26946,0.091968,-0.091372,-0.089506,-0.21999,0.73375,-0.1353,0.53657,-0.13631,-0.062613,-21224.0,-0.12428,1.7539,-0.52243,4.9844,1.1596,125.32,-1.4821,41.906,1.0626,-117.04,-1.1565,0.4228
2322,risky_upgrade,1,0,BB,BBB,BB→BBB,0,-0.18111,0.59202,0.58637,-0.11281,-0.087228,0.061508,0.50466,-0.12323,0.49846,-0.12323,-0.003413,915.01,-0.22205,1.9993,-0.26712,4.1725,1.0501,212.58,-0.21016,13.414,1.0034,18.645,-4.6832,1.0983
2323,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.21463,-0.61242,-0.61242,-0.087655,-0.19886,-1.00064,1.0625,-0.24513,0.98051,-0.24513,-0.10313,-40775.49,-0.081041,0.92454,-0.63331,5.021,0.92724,58.686,0.40027,37.562,1.1031,-353.25,-1.6218,0.096462
2324,risky_upgrade,1,0,CCC,B,CCC→B,1,0.059223,-0.008165,-0.011502,0.023652,0.056869,-0.12723,0.66388,0.036351,0.62709,-0.038694,0.1056,-1792.0,0.019385,1.5635,0.51373,4.1488,1.0452,111.99,-0.067513,12.393,1.0623,-41.596,0.52109,0.81748
2325,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.010011,-0.7113339999999999,-1.3727,-0.028296,-0.4666,-1.00064,0.037806,-1.034518,0.041066,0.0,-0.009713,-138.98,-0.68241,24.117,-0.14684,2.1167,1.0452,9.690959000000001,1.3859,0.0,1.0073,-7.8927,0.282825,0.088249
2326,risky_upgrade,1,0,BBB,A,BBB→A,0,0.07261,0.56678,0.35722,0.078593,0.23821,0.25592,0.20505,0.21886,0.17156,0.001042,0.091738,1243.0,0.30922,6.3155,0.075639,3.6864,1.208,92.003,0.30556,26.394,0.91452,8.9011,0.75551,0.48723
2327,risky_upgrade,1,0,BB,BBB,BB→BBB,0,0.004943,0.56348,0.22699,0.054667,0.090686,-0.10743,0.28002,0.072549,0.1642,0.051957,0.032083,-3151.0,0.1673,6.2919,0.15117,4.4673,1.0227,42.915,0.2289,9.5609,0.96792,-25.193,0.72433,0.58836
2329,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.57451,0.29079,0.29079,-0.42711,-0.30151,-0.56199,1.0279,-0.37449,0.7418,-0.37449,-0.38944,-40775.49,-0.41439,0.97023,-0.10623,5.0371,0.56186,69.875,-1.2879,31.753,1.3894,-263.48,-6.3784,0.10771
2330,risky_upgrade,1,0,B,BB,B→BB,1,0.022632,0.39346,0.084299,0.042836,0.076939,0.13287,0.24169,0.076314,0.231,0.0,0.028691,1365.0,0.13593,4.4504,0.17879,4.0117,1.0452,87.272,0.23889,16.8,0.96295,0.96317,0.50187,0.3611
2331,risky_upgrade,1,0,CCC,B,CCC→B,1,-0.004831,0.17111,0.057459,0.038662,0.069504,-0.36401,0.27948,0.039421,0.26667,0.039421,0.042314,-2093.3,0.13301,3.9157,0.19907,3.7597,1.1294,47.644,0.68608,18.049,0.95769,-63.048,0.2476,0.36367
2333,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.59597,0.86684,-0.36106,-0.5750552000000001,-0.11464,-0.005038,2.6335,-0.47916,0.30039,-0.12635,-0.37768,-102.0,-0.48898,2.3466,-0.42224,4.3063,1.0452,66.585,-2.9482139999999997,21.394,1.3875,-25.824,-10.095080000000001,0.67054
2334,risky_upgrade,1,0,BB,BBB,BB→BBB,0,-0.007529,0.5108,0.42135,0.05156,0.07,0.12697,0.18794,0.056324,0.17088,0.041573,0.018464,314.0,0.23337,5.9622,0.1161,3.3932,1.2676,72.763,0.098666,48.863,0.98154,-34.605,0.10824,0.4657
2335,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.094364,-0.48448,-0.48448,-0.063192,-0.16024,-0.66793,0.56046,-0.18039,0.5513,-0.18039,-0.07097,-33512.0,-0.10703,1.6937,-0.36032,4.7005,1.067,91.162,0.37233,33.569,1.071,-137.96,-0.90724,0.32097
2336,risky_upgrade,1,0,BB,BBB,BB→BBB,0,0.057348,0.44637,0.28632,0.12543,0.11055,-0.23907,0.43165,0.15668,0.36347,0.13025,0.076888,-16672.0,0.24125,2.9804,0.15584,4.8435,1.6721,55.673,0.45493,9.7204,0.92311,-78.094,3.3452,0.43329
2337,risky_upgrade,1,0,BBB,A,BBB→A,0,0.028099,0.6099,0.46037,0.080536,0.065975,0.1701,0.44369,0.052127,0.33459,0.036555,0.067543,44797.0,0.14729,3.2052,0.15845,5.4205,1.0992,164.87,0.079403,100.89,0.93246,-52.35,0.12165,0.61557
2338,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.46477,0.25132,0.14418,-0.37488,-0.39471,-0.55275,0.85216,-0.44552,0.5522,-0.37842,-0.35135,-18181.0,-0.36076,1.3401,-0.086556,4.5171,2.085,68.252,-2.6246,26.34,1.3513,-177.12,-5.2402,0.16306
2339,risky_upgrade,1,0,BB,BBB,BB→BBB,0,0.061331,0.38323,0.3387,0.094671,0.19339,0.071935,0.23088,0.13396,0.28193,0.10615,0.10337,1823.2,0.29714,3.9559,0.073245,4.4039,1.1271,88.385,0.31341,57.932,0.89663,-52.482,0.31873,0.50774
