,group,is_risky,cluster,from_grade,to_grade,transition,high_risk_transition,Attr49,Attr38,retained_earnings_to_assets,working_capital_to_assets,Attr25,Attr24,Attr35,Attr13,Attr30,Attr52,Attr29,Attr56,Attr55,Attr21,Attr41,Attr12,Attr58,cash_to_current_liabilities,Attr57,Attr63,Attr47,Attr54,Attr15
2295,risky_upgrade,1,1,CCC,B,CCC→B,1,0.07657,0.31275,-0.008533,0.34322,0.30129,0.22442,0.035845,0.08291,0.13627,0.23015,3.941,0.012721,2996.0,1.0452,0.09772,0.3502,0.91937,20.226,0.38315,4.3985,24.463,19.718,1073.2
2296,risky_upgrade,1,2,B,BB,B→BB,1,0.22639,0.42002,0.8147872000000004,0.39256,0.42002,1.1629,0.6873924000000006,0.25446,0.011402,0.10615,3.2528,-0.026376,702.64,0.74012,0.012379,2.0464,1.0264,24.438,2.7113,9.1783,1.1767,10.723,156.29
2297,risky_upgrade,1,2,A,AA,A→AA,0,0.10182,0.72507,0.0,0.66637,0.40687,0.37817,0.49787,0.12436,0.094126,0.061065,3.0715,0.14476,785.65,1.0452,0.040876,2.0326,0.88217,65.843,0.61371,18.486,12.178,4.9082,470.14
2298,risky_upgrade,1,1,B,BB,B→BB,1,0.14475,0.37031,0.0,0.35228,0.34493,0.60305,0.62183,0.14939,0.097977,0.16997,3.2945,0.15254,694.0,1.0452,0.034772,1.0189,0.85184,36.465,0.97541,6.8928,0.0,6.626,376.95
2300,risky_upgrade,1,3,B,BB,B→BB,1,-0.12037,0.53183,-0.064572,-0.057889,0.37236,-0.064572,-0.047885,-0.038537,0.45064,0.21212,4.7763,-0.091383,-3458.6,0.58733,-1.0041,-0.39412,1.0914,-50.177,-0.17341,4.3195,20.99,0.59485,-4326.9
2302,risky_upgrade,1,1,CCC,B,CCC→B,1,0.068106,0.093365,0.0,0.083558,0.087732,0.071652,0.066441,0.014595,1.1068,1.193,4.1718,0.080961,1241.0,0.45087,0.4552,0.007339,0.88167,-171.77,0.065026,0.90532,210.89,9.5638,27691.0
2303,risky_upgrade,1,3,CCC,B,CCC→B,1,-0.36478,0.55182,-0.78293,0.06414,-1.2134,-0.43043,-0.39014,-0.28994,1.4355,0.28319,3.5767,-0.33792,242.0,1.0452,-0.24418,-0.96095,1.2338,-58.789,0.62995,2.5775,67.279,1.1315,-1835.4
2304,risky_upgrade,1,1,B,BB,B→BB,1,0.025282,0.64666,-0.059316,0.080192,0.40303,-0.038322,0.093875,0.011917,0.28369,0.20935,3.8983,0.09346,634.49,0.87897,0.11552,-0.13521,0.90654,-23.766,-0.14717,5.2691,44.509,1.0162,10809.0
2305,risky_upgrade,1,1,B,BB,B→BB,1,-0.009992,0.32488,0.0,-0.049739,0.006466,0.006466,0.031364,0.02893,0.50197,0.38185,3.6631,0.017423,-229.0,1.0452,0.41892,0.009579,0.98471,-21.646,0.07839,2.6593,11.069,0.86762,6447.9
2306,risky_upgrade,1,1,CCC,B,CCC→B,1,0.011405,0.46,0.0,-0.15858,0.36156,0.008757,-0.009399,0.003403,0.22929,0.18505,3.999,0.099529,-1582.0,1.0452,0.67174,0.018246,0.88759,-38.946,0.0219,5.3615,16.04,0.67784,24651.0
2307,risky_upgrade,1,3,CCC,B,CCC→B,1,-0.014646,-0.19216,-0.050954,-0.5735,-0.19216,-0.059031,-0.00869,-0.099491,1.7259,1.6777,4.1897,-0.033867,-8876.0,0.6929,-2.2021499999999996,-0.05736,1.0339,-425.5,0.26517,0.57653,89.885,-0.353,-6363.3
2308,risky_upgrade,1,1,BB,BBB,BB→BBB,0,0.049203,0.53303,0.0807,-0.036187,0.38948,0.10584,0.12018,0.0862,0.33927,0.29458,4.412,0.078973,-934.47,1.1097,0.12393,0.23369,0.92103,-47.223,0.2072,3.6857,38.03,0.91382,1513.0
2310,risky_upgrade,1,1,B,BB,B→BB,1,-0.054425,0.35737,-0.016449,-0.16722,0.065246,0.001304,0.035799,0.080478,0.64944,0.46289,4.069,0.035441,-1960.2,0.89988,0.20461,0.00205,0.96456,-87.987,-0.25211,2.2397,36.285,0.67251,2955.3
2311,risky_upgrade,1,3,CCC,B,CCC→B,1,-0.16364,0.47447,0.0,-0.31883,0.16813,-0.0582,-0.060398,-0.054001,1.2601,0.88639,4.4062,-0.11915,-8124.0,1.0452,-1.0044,-0.11381,1.077,-232.69,-0.1637,0.99194,20.611,0.58761,-8587.4
2312,risky_upgrade,1,1,CCC,B,CCC→B,1,0.017542,0.20101,0.021599,0.007627,0.19218,0.026783,0.092478,0.010527,0.18283,0.18922,3.8658,0.01792,56.0,1.1508,0.23771,0.033921,0.98208,-19.869,0.11239,5.3812,20.719,0.99113,6515.5
2314,risky_upgrade,1,1,B,BB,B→BB,1,0.084515,0.44818,0.19922,0.44818,0.44818,0.29827,0.29859,0.084426,0.14155,0.17061,3.0562,0.084528,510.07,1.0784,0.060758,0.54053,0.91547,49.559,0.44452,6.4025,0.3302,1.3767,675.26
2315,risky_upgrade,1,3,CCC,B,CCC→B,1,-0.04871,0.34455,-0.11865,-0.085002,0.34455,-0.12273,-0.11364,-0.012222,0.16666,0.16307,3.9339,-0.029356,-730.0,1.0452,-0.55857,-0.18848,1.0294,-43.699,-0.34437,5.9576,35.539,0.79415,-5012.7
2316,risky_upgrade,1,1,B,BB,B→BB,1,0.067151,0.3033,0.0,-0.1133,0.19792,0.12663,0.14292,0.078035,0.35779,0.40379,4.0738,0.076499,-1343.0,1.0452,0.16327,0.18176,0.92259,-72.484,0.63981,2.6815,48.51,0.72803,2008.1
2317,risky_upgrade,1,1,B,BB,B→BB,1,0.048118,0.16983,0.12983,-0.005056,0.16424,0.17568,0.16517,0.070698,0.27041,0.30003,4.2357,0.065901,-87.0,1.1391,0.13841,0.21852,0.9341,-53.8,0.79052,3.5682,53.109,0.84457,1457.0
2318,risky_upgrade,1,1,B,BB,B→BB,1,0.066501,0.63914,0.0,0.54035,0.34305,0.10256,0.08529,0.10471,-0.20521,0.15622,3.5688,0.07866,2002.0,1.0452,0.12661,0.65404,0.90729,195.71,0.12838,6.9363,0.0,2.1105,1156.4
2319,risky_upgrade,1,3,B,BB,B→BB,1,-0.066761,0.74351,-0.11637,0.035068,-0.14303,-0.026677,-0.090266,-0.017693,1.2415,0.24255,4.1044,-0.10017,446.0,1.0452,-0.97855,-0.11008,0.97442,-70.431,0.19288,3.7219,83.215,1.0289,-26037.0
2320,risky_upgrade,1,3,CCC,B,CCC→B,1,-0.19162,0.92345,-0.37964,0.48386,-0.51888,-0.1373,-0.13481,-0.11497,-0.4134,0.074581,2.7144,-0.15135,250.7,1.0452,-0.025306,-1.7937,1.1198,175.7,-0.15078,11.635,0.0,2.1008,-272.87
2321,risky_upgrade,1,1,B,BB,B→BB,1,-0.002535,0.21398,0.026854,0.03453,0.074672,0.026166,0.030524,0.038997,0.46237,0.48805,5.2381,0.015915,5974.0,1.7466,0.44822,0.035041,0.98409,-67.885,0.35963,2.0821,70.293,0.97825,5333.9
2322,risky_upgrade,1,1,B,BB,B→BB,1,-0.076131,0.000383,-0.12072,-0.28077,0.000383,-0.12072,-0.057575,-0.037716,0.59516,0.58005,4.4867,-0.064195,-8611.1,0.99876,7.4916,-0.12487,1.0642,-146.66,-2.9482139999999997,1.62,81.45,0.001219,-5973.9
2323,risky_upgrade,1,1,BBB,A,BBB→A,0,0.18071,0.52765,0.34986,-0.14984,0.39059,0.34986,0.36098,0.19755,0.31081,0.3099,4.0656,0.1889,-1742.6,1.0452,0.052398,0.74067,0.8111,-39.071,0.89571,3.9784,0.81206,0.77883,599.16
2324,risky_upgrade,1,3,B,BB,B→BB,1,-0.12588,0.51287,-0.15983,0.26986,0.51287,-0.15983,-0.15219,-0.078383,0.27046,0.2484,4.4221,-0.12224,7131.7,1.1284,-0.12489,-0.37535,1.1222,-47.554,-0.31164,3.5873,99.293,1.6853,-1298.1
2325,risky_upgrade,1,1,BB,BBB,BB→BBB,0,0.078054,0.52408,0.14628,0.31911,0.51035,0.21317,0.23457,0.091599,0.17277,0.18645,4.6093,0.09428,12979.0,1.4141,0.057398,0.47831,0.90572,-17.204,0.28662,5.9216,65.878,2.2282,693.64
2327,risky_upgrade,1,1,B,BB,B→BB,1,-0.020363,0.35722,0.016878,0.019355,0.27707,0.016878,0.011596,0.044336,0.42871,0.4062,4.5386,0.037083,668.94,1.0744,0.378,0.03633,0.96292,-91.507,0.060916,2.5566,95.9,0.6922,3775.7
2328,risky_upgrade,1,1,BB,BBB,BB→BBB,0,0.036944,0.50596,0.16822,-0.055259,0.48604,0.16822,0.18794,0.065611,0.13297,0.15314,4.4593,0.071075,-1591.0,1.1981,0.068249,0.34049,0.92892,-23.919,0.3461,7.0295,16.84,0.90154,823.3
2329,risky_upgrade,1,1,BB,BBB,BB→BBB,0,0.065726,0.32606,-0.002031,0.27777,0.22493,0.2261,0.13413,0.043626,0.34555,0.31142,4.42,0.064467,7306.0,1.6276,0.17534,0.14131,0.91419,-13.051,0.30288,3.4318,63.479,2.8164,3108.2
2330,risky_upgrade,1,3,CCC,B,CCC→B,1,-0.011736,0.41888,0.0,0.080968,0.3771,-0.090132,-0.061778,-0.006864,0.072038,0.076986,2.7892,-0.008317,49.83,1.0506,-0.47609,-0.12764,1.0085,-22.027,-0.17708,12.775,23.332,1.2396,-4162.6
2333,risky_upgrade,1,0,CCC,B,CCC→B,1,-0.31475,-0.64464,-0.74089,-0.6585,-1.5009,-0.76,-0.41168,-0.51963,1.6491,0.90324,2.5429,-0.29297,-229.87,1.0452,-0.20539,-0.4621,1.1982,-255.38,0.55979,0.85439,120.72,-3.5025279999999994,-1178.5
2334,risky_upgrade,1,1,CCC,B,CCC→B,1,0.022754,0.18934,0.011514,-0.011046,0.18934,0.014275,0.023801,0.025455,1.0209,1.0582,4.6703,0.033841,-517.0,1.2334,0.89596,0.017677,0.96616,-251.79,0.06081,0.97809,247.92,0.9303,14660.0
2335,risky_upgrade,1,3,CCC,B,CCC→B,1,-0.054213,0.34548,-0.94625,-0.27738,-0.49752,-0.11342,-0.094894,-0.022488,0.41543,0.25258,4.0606,-0.038082,-3189.0,1.0452,-1.7084,-0.17331,1.031,-49.219,2.1378,3.8111,9.65,0.5546,-6853.1
2337,risky_upgrade,1,1,CCC,B,CCC→B,1,0.059223,-0.008165,-0.038694,-0.12723,-0.011502,0.036351,0.056869,0.023652,0.66388,0.62709,4.1488,0.1056,-1792.0,1.0452,0.51373,0.036981,1.0623,-41.596,-0.067513,1.5635,12.151,-0.056594,14085.0
2338,risky_upgrade,1,0,CCC,B,CCC→B,1,-0.010011,-0.7113339999999999,0.0,-1.00064,-1.3727,-1.034518,-0.4666,-0.028296,0.037806,0.041066,2.1167,-0.009713,-138.98,1.0452,-0.14684,-0.68963,1.0073,-7.8927,1.3859,24.117,0.0,-3.5025279999999994,-534.87
2339,risky_upgrade,1,3,BB,BBB,BB→BBB,0,-0.22739,0.69403,-0.050274,0.03199,0.56054,-0.050274,-0.098789,0.041211,0.52579,0.3297,4.2374,-0.092434,552.58,0.82846,-0.89369,-0.17434,1.0924,-116.31,-0.089689,2.7764,113.95,1.0212,4666.7
2341,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.004831,0.17111,0.039421,-0.36401,0.057459,0.039421,0.069504,0.038662,0.27948,0.26667,3.7597,0.042314,-2093.3,1.1294,0.19907,0.047943,0.95769,-63.048,0.68608,3.9157,18.846,0.31584,2744.2
2342,risky_upgrade,1,1,B,BB,B→BB,1,-0.001691,0.33312,-0.000201,0.10718,0.21224,0.045587,0.11575,0.018924,0.097966,0.11348,2.7372,0.019784,58.52,1.0452,0.18063,0.06836,0.98999,-0.30642,0.042556,8.8849,6.3594,1.4744,2170.8
2344,risky_upgrade,1,0,CCC,B,CCC→B,1,-0.094364,-0.48448,-0.18039,-0.66793,-0.48448,-0.18039,-0.16024,-0.063192,0.56046,0.5513,4.7005,-0.07097,-33512.0,1.067,-0.36032,-0.14132,1.071,-137.96,0.37233,1.6937,31.344,-1.2376,-3410.3
2346,risky_upgrade,1,3,CCC,B,CCC→B,1,-0.46477,0.25132,-0.37842,-0.55275,0.14418,-0.44552,-0.39471,-0.37488,0.85216,0.5522,4.5171,-0.35135,-18181.0,2.085,-0.086556,-0.59663,1.3513,-177.12,-2.6246,1.3401,19.492,0.3118,-830.8
2347,risky_upgrade,1,1,BB,BBB,BB→BBB,0,0.061331,0.38323,0.10615,0.071935,0.3387,0.13396,0.19339,0.094671,0.23088,0.28193,4.4039,0.10337,1823.2,1.1271,0.073245,0.25255,0.89663,-52.482,0.31341,3.9559,64.611,0.96379,1056.4
2348,risky_upgrade,1,1,B,BB,B→BB,1,0.00376,0.21856,0.008135,0.084571,0.21856,0.008135,0.04868,0.019639,0.30856,0.32721,4.138,0.016455,1162.0,1.2337,0.29118,0.01041,0.98354,-70.164,0.037219,3.1073,82.679,1.6312,5981.4
2349,risky_upgrade,1,1,B,BB,B→BB,1,-0.02941,0.48394,0.020529,0.22532,0.21293,0.020529,0.017951,0.066587,0.7002,0.44292,4.2743,0.010276,4237.0,1.246,0.35915,0.045245,0.98972,-142.82,0.096411,2.2812,216.09,1.5081,3838.2
2350,risky_upgrade,1,1,B,BB,B→BB,1,0.035481,0.27559,0.07095,-0.035839,0.26066,0.085286,0.10679,0.042572,0.28667,0.30701,4.4391,0.044179,-985.0,1.3576,0.19191,0.1181,0.95582,-79.581,0.27219,3.4078,73.129,0.87859,2568.0
2351,risky_upgrade,1,3,CCC,B,CCC→B,1,-0.19596,0.39225,-0.21209,-0.29308,0.39225,-0.21209,-0.20268,-0.14543,0.5,0.46473,4.9629,-0.076343,-26909.0,1.3453,-0.11944,-0.34899,1.0763,-170.83,-0.54071,1.9992,78.095,0.57235,-1255.4
2352,risky_upgrade,1,1,B,BB,B→BB,1,0.017048,0.40853,-0.50325,0.2227,-0.36696,0.18956,0.07889,0.041356,0.1687,0.17491,3.4419,0.022894,616.0,1.0389,0.12851,0.16196,0.96946,-30.238,0.2128,5.8472,53.578,2.1973,1509.4
2353,risky_upgrade,1,0,CCC,B,CCC→B,1,0.15234,-0.7113339999999999,0.25487,-1.00064,-1.1791,0.24881,0.21822,0.33987,2.0861,1.7374,4.08,-0.20118,-19892.0,1.4315,0.22303,0.12565,1.2012,-647.94,-0.21616,0.47918,84.369,-1.7483,2241.2
2355,risky_upgrade,1,3,CCC,B,CCC→B,1,-0.086133,0.45436,-0.18616,0.14399,0.061743,-0.18611,-0.065551,-0.082855,0.50628,0.24836,4.3115,-0.030382,2950.0,1.3508,-2.2021499999999996,-0.48835,1.0304,-17.373,-2.9482139999999997,3.9077,51.085,0.95673,-2288.8
2356,risky_upgrade,1,1,B,BB,B→BB,1,-0.020947,0.36293,0.006566,-0.11054,0.006567,0.006566,0.006682,0.035924,0.52797,0.41102,4.4111,0.004305,-2848.7,1.0452,0.42601,0.010307,0.98366,-43.778,0.041203,2.4334,16.949,0.76653,5509.6
2357,risky_upgrade,1,0,CCC,B,CCC→B,1,0.25183,-0.7113339999999999,-1.880592,-1.00064,-1.86106,-1.034518,0.6873924000000006,-0.5750552000000001,4.20196500000005,3.241538000000006,1.94594,0.64744,-4171.5,1.0452,7.4916,-0.13953,0.74095,-2978.4999999999995,0.13983,0.293002,32.497,1.3767,-2615.9
2358,risky_upgrade,1,1,B,BB,B→BB,1,0.000306,0.36702,0.0383,-0.18226,0.36702,0.071592,0.096811,0.090975,0.12502,0.34332,4.5402,0.049913,-6321.8,0.86184,0.10248,0.11897,0.95009,-41.855,0.10435,3.0657,1.7079,0.63226,1308.7
2359,risky_upgrade,1,1,B,BB,B→BB,1,-0.030894,0.31897,-0.057133,-0.18052,0.11481,-0.057133,0.009593,-0.020892,0.92452,0.74028,5.2388,0.015555,-31287.0,2.0856,0.60378,-0.085398,0.98444,-127.23,-0.49765,1.3722,50.064,0.6236,-16617.0
2363,risky_upgrade,1,1,B,BB,B→BB,1,-0.034288,0.49207,0.0,-0.089391,0.30552,-0.02951,-0.070545,0.016434,0.20462,0.13915,3.7968,-0.026126,-559.91,1.0452,0.34632,-0.076218,1.0107,-25.65,-0.077748,6.9741,11.896,0.70075,4716.0
2364,risky_upgrade,1,1,B,BB,B→BB,1,0.011755,0.24055,-0.21204,0.057544,-0.16463,0.021384,0.077797,0.027798,0.41433,0.37972,4.0109,0.038343,590.0,1.1904,0.31828,0.031565,0.96854,-71.309,0.091892,2.7083,75.971,1.2412,5521.7
2365,risky_upgrade,1,1,B,BB,B→BB,1,0.015625,0.57773,0.0,0.030709,0.54563,0.20828,0.014343,0.037156,0.052693,0.073987,3.6131,0.002525,126.0,1.1631,0.068997,0.356,0.9743,-12.926,0.21111,13.493,14.938,1.0563,755.78
2366,risky_upgrade,1,1,CCC,B,CCC→B,1,0.020619,0.1243,0.10274,-0.23046,0.1243,0.10274,0.083694,0.046038,0.27835,0.29273,4.1369,0.025871,-3158.7,1.2566,0.23898,0.12881,0.97413,-63.07,0.82651,3.5068,32.035,0.28714,2260.8
2367,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.000895,0.52159,0.034752,0.06648,0.38653,0.044381,0.025731,0.017015,0.10868,0.086769,4.7843,0.009679,4046.0,0.9844,0.30218,0.11875,0.99032,1.2611,0.089908,11.638,3.9167,0.93178,2509.5
2368,risky_upgrade,1,1,BBB,A,BBB→A,0,-0.007707,0.68213,0.038241,0.28421,0.66519,0.048285,0.049024,0.049384,0.12369,0.12896,4.075,0.017958,3378.0,0.97364,0.088573,0.1633,0.98204,16.151,0.057488,7.8962,28.721,1.6237,989.65
2370,risky_upgrade,1,1,B,BB,B→BB,1,-0.0158,0.31381,-0.13157,-0.007875,0.028654,-0.003554,0.020863,0.028261,0.2809,0.26192,3.1912,0.009228,-12.23,1.0452,0.2315,-0.005936,0.98398,-39.895,-0.011884,3.8455,36.878,0.76665,3929.5
