feature,U_stat,p_value,sig_05,sig_01,sig_001,risky_median,safe_median,median_diff,n_risky,n_safe,effect_r
Attr51,7227912.5,1.0903524757823976e-19,True,True,True,0.5632,0.4736,0.0896,1079,11481,-0.16692171189229188
Attr30,7218854.0,2.2577790018866613e-19,True,True,True,0.3646,0.2816,0.083,1079,11481,-0.16545924809971324
Attr50,5178380.5,4.710831803195598e-19,True,True,True,0.8348,0.9812,-0.1464,1079,11481,0.16396820826349756
cash_to_current_liabilities,5233981.5,3.438842070607957e-17,True,True,True,-45.782,-25.227,-20.555,1079,11481,0.15499161729025002
Attr41,5241248.0,5.91837521189374e-17,True,True,True,0.0716,0.1348,-0.0632,1079,11481,0.15381846575867497
Attr52,6993250.0,2.238258134459496e-12,True,True,True,0.3114,0.2584,0.0531,1079,11481,-0.12903625516921657
Attr56,5415571.5,8.147465541055675e-12,True,True,True,0.0112,0.0229,-0.0117,1079,11481,0.12567453387750516
Attr33,5431216.0,2.105361116815728e-11,True,True,True,3.2128,3.8605,-0.6477,1079,11481,0.12314878294710874
Attr15,5488201.0,5.714121489949303e-10,True,True,True,586.07,1446.4,-860.33,1079,11481,0.11394874991513959
Attr57,5555731.5,2.081249611224048e-08,True,True,True,0.0292,0.0732,-0.044,1079,11481,0.10304618203472571
sales_to_assets,5620540.5,4.7548203498715564e-07,True,True,True,1.1437,1.2418,-0.0981,1079,11481,0.0925829910060535
Attr21,5670460.0,4.080498718580461e-06,True,True,True,1.0452,1.0452,0.0,1079,11481,0.08452365874424106
Attr64,5722267.0,3.433071179100199e-05,True,True,True,4.2825,4.6907,-0.4082,1079,11481,0.07615959607358702
Attr60,5735422.0,5.6405237308175185e-05,True,True,True,9.2728,9.7917,-0.5189,1079,11481,0.0740357663897131
Attr58,6586212.0,0.0005725543213047112,True,True,True,0.9841,0.9804,0.0038,1079,11481,-0.06332136449155357
Attr59,5835455.5,0.000996508376077763,True,True,True,0.0,0.0034,-0.0034,1079,11481,0.05788570050740238
Attr29,5836822.0,0.0017090433383198187,True,True,False,3.8289,3.8808,-0.0519,1079,11481,0.057665083763729696
Attr43,6540102.5,0.002370719332035358,True,True,False,103.65,96.35,7.3,1079,11481,-0.055877143677522056
Attr36,5851721.0,0.0026489227386133894,True,True,False,1.6451,1.8046,-0.1595,1079,11481,0.05525969125441488
Attr27,5904537.0,0.011002563662241558,True,False,False,1.0841,0.5875,0.4966,1079,11481,0.04673272899037206
Attr20,6425460.5,0.04207961216923342,True,False,False,38.84,35.754,3.086,1079,11481,-0.03736858551570754
Attr34,6025452.0,0.13883871942643228,False,False,False,1.8101,1.8817,-0.0716,1079,11481,0.027211416468470806
Attr47,6132685.0,0.5902468673932213,False,False,False,37.368,36.773,0.595,1079,11481,0.009899015975057823
Attr61,6146362.0,0.6757025937822836,False,False,False,7.2845,7.2041,0.0804,1079,11481,0.0076909111794406515
Attr37,6152421.0,0.7026881652668588,False,False,False,3.0963,3.0963,0.0,1079,11481,0.006712706386237222
Attr44,6227784.5,0.7667064790970644,False,False,False,49.692,50.392,-0.7,1079,11481,-0.005454472510047825
