,group,is_risky,cluster,from_grade,to_grade,transition,high_risk_transition,working_capital_to_assets,Attr49,Attr38,retained_earnings_to_assets,Attr25,net_profit_to_assets,Attr13,Attr24,Attr35,Attr30,Attr52,Attr55,Attr41,Attr56,Attr29,Attr12,Attr57,Attr63,Attr21,Attr58,Attr15,cash_to_current_liabilities
2251,risky_upgrade,1,1,B,BB,B→BB,1,0.069325,0.015715,0.46362,0.002093,0.35829,0.010294,0.005455,0.01397,0.038644,0.22492,0.2351,827.12,0.48656,0.1149,4.0767,0.02619,0.024949,4.8007,1.0452,0.89633,15348.0,-43.729
2252,risky_upgrade,1,2,CCC,B,CCC→B,1,-0.042658,-0.16325,0.28562,0.0,0.15258,-0.14212,-0.12354,-0.15655,-0.087692,0.74985,0.68496,-1472.0,-0.25758,0.10808,4.5379,-0.23528,-0.62305,1.5124,0.81904,0.9941,-2264.6,-180.11
2253,risky_upgrade,1,1,CCC,B,CCC→B,1,0.076413,0.014091,-0.024459,-0.48609,-0.29155,0.006137,0.002297,0.006197,0.034514,0.4085,0.28341,346.0,1.0356,0.095121,3.6559,0.007884,-0.033885,3.4324,1.0452,0.90536,37403.399999999994,-21.365
2254,risky_upgrade,1,1,CCC,B,CCC→B,1,0.1328,0.006736,0.45961,-0.028693,0.003016,0.005542,0.004444,0.014522,0.01527,0.24066,0.1465,11714.0,1.2005,0.17591,4.9455,0.030209,0.026762,6.7985,1.0452,0.81735,19929.0,-8.8959
2255,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.25033,0.004236,0.25567,0.013351,0.18558,0.004673,0.002401,0.011348,0.22497,0.14883,0.15789,-375.0,1.2389,0.3074,3.1755,0.015247,0.018277,6.3516,1.0452,0.7358,23940.0,-24.571
2257,risky_upgrade,1,1,CCC,B,CCC→B,1,0.16066,0.006179,0.25869,0.0,0.21417,0.029722,0.034948,0.09117,0.042873,0.34863,0.19387,1057.0,0.29682,0.019963,3.8182,0.093834,0.13088,5.263,1.1786,0.97279,3758.8,-27.55
2258,risky_upgrade,1,0,CCC,B,CCC→B,1,-0.18061,-0.8681929,0.28043,-1.880592,-1.1556,-0.5767976,-0.5750552000000001,-1.034518,-0.04066,3.9688,1.0713,-4442.0,-0.071712,0.5079,4.3908,-1.745,-2.9482139999999997,0.293002,0.37993,1.6584000000000014,-240.34,-144.7
2259,risky_upgrade,1,1,BB,BBB,BB→BBB,0,0.040494,0.011318,0.62177,-0.009743,0.16878,0.021227,0.051193,0.085943,0.089676,0.22781,0.22721,220.62,0.10607,0.054718,3.7363,0.089207,0.03414,4.3329,1.0113,0.98054,1645.5,-34.931
2260,risky_upgrade,1,1,B,BB,B→BB,1,0.009781,0.084149,0.3929,-0.036908,0.23452,0.007599,0.057219,0.014633,0.028624,2.2213,0.50872,945.75,0.56672,0.2931,4.9854,0.094027,0.020126,2.7711,1.3035,0.78308,14177.0,-82.0
2261,risky_upgrade,1,1,B,BB,B→BB,1,0.34873,0.037605,0.66696,0.0,0.52057,0.061977,0.071544,0.081531,4.5e-05,0.18544,0.18426,2.1786,0.075943,0.19478,5.044,0.22929,0.092925,5.2721,0.97972,0.78324,1089.2,20.734
2262,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.010134,0.018328,0.33637,-0.17629,0.15975,0.034698,0.01197,0.031024,0.037434,0.24693,0.18847,-28.0,0.46552,0.19746,3.4414,0.064306,0.10315,5.3721,1.0452,0.79987,7805.0,-28.994
2263,risky_upgrade,1,1,B,BB,B→BB,1,-0.061528,0.044889,0.26204,0.0,0.21404,0.14085,0.038926,0.14912,0.21724,0.1939,0.19412,-439.0,0.14417,0.1118,3.8534,0.20941,0.54978,5.3796,1.0452,0.90022,1820.5,-29.792
2264,risky_upgrade,1,2,BB,BBB,BB→BBB,0,0.08212,-0.034199,0.34274,-0.19193,-0.23619,-0.044259,-0.003835,-0.044259,-0.023779,0.36731,0.35016,56.74,1.6087,-0.012945,2.8394,-0.069754,-0.12913,2.8193,1.0452,1.0038,-26372.28,-20.211
2265,risky_upgrade,1,2,B,BB,B→BB,1,-0.36055,-0.40613,0.45437,0.0,0.43089,-0.16718,-0.090491,-0.16362,-0.16095,0.84555,0.67121,-3647.0,-0.35515,-0.24969,4.005,-0.30261,-0.36793,1.1922,1.0452,1.2055,-3414.3,-267.34
2266,risky_upgrade,1,1,BB,BBB,BB→BBB,0,0.39722,-0.00315,0.2737,-0.13554,0.1814,0.070445,0.080743,0.072949,0.059769,0.37149,0.22588,1258.0,0.1452,0.029736,3.5006,0.16585,0.2801,4.5628,1.0452,0.95927,1686.3,-72.458
2267,risky_upgrade,1,1,B,BB,B→BB,1,0.13068,0.006808,0.39851,0.0,0.37047,0.02687,0.02881,0.039905,0.03968,0.25336,0.25709,233.0,0.27617,0.016837,3.2512,0.066371,0.067427,3.9338,1.0452,0.9757,3220.7,-21.687
2268,risky_upgrade,1,1,CCC,B,CCC→B,1,0.217,0.011289,0.39429,-0.002823,0.071998,0.013765,0.023004,0.018367,-0.000773,0.4265,0.26007,5612.0,0.43656,-0.000474,4.4127,0.043111,0.053437,3.827,1.0452,0.97748,7224.7,-36.559
2270,risky_upgrade,1,1,B,BB,B→BB,1,-0.041939,8e-06,0.45833,0.020089,0.029503,0.020089,0.05074,0.028733,0.048998,0.63206,0.36471,-756.0,0.32496,0.033972,4.2559,0.053243,0.68093,2.8383,1.0629,0.96603,4548.4,-64.487
2271,risky_upgrade,1,1,B,BB,B→BB,1,0.15439,0.041541,0.64714,-0.041082,-0.037645,0.003529,0.006395,0.009007,0.063174,0.44309,0.26111,1054.0,0.36057,0.1484,3.8342,0.025536,0.009617,3.9934,1.0452,0.85495,25649.0,-62.761
2272,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.43695,-0.000599,0.20619,0.0,0.019747,0.012725,0.016172,0.014975,0.023017,0.38949,0.33601,-2578.0,0.67981,0.00969,3.7709,0.01889,0.18026,3.0009,1.0452,0.99062,8817.1,-112.92
2273,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.56168,0.057354,-0.34797,0.20613,-0.34797,0.20613,0.07682,0.20613,0.20422,0.42884,0.45234,-3320.1,0.19018,0.025622,3.7717,0.15292,-0.59239,2.2688,1.2825,0.97438,2094.2,-108.73
2274,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.016243,0.01394,0.34135,0.0,0.22217,0.000562,0.003297,0.00659,-0.005636,0.32514,0.083258,-43.06,0.78787,0.32346,3.4234,0.039492,0.001647,11.979,1.0452,0.66397,36479.0,-16.708
2275,risky_upgrade,1,1,B,BB,B→BB,1,0.58897,-0.028926,0.96355,0.0,0.93042,0.014785,0.061881,0.019145,0.013439,-0.26065,0.03485,888.76,0.020111,0.012706,3.1787,0.52337,0.015344,28.514,1.0452,0.98226,206.86,142.62
2276,risky_upgrade,1,1,BB,BBB,BB→BBB,0,0.10391,-0.009142,0.52765,0.007087,0.5024,0.007087,0.030685,0.007087,0.035242,0.2435,0.23962,8197.0,0.18049,0.022297,4.897,0.015395,0.014106,4.2684,1.0748,0.9777,2939.6,-42.122
2277,risky_upgrade,1,1,CCC,B,CCC→B,1,0.028717,0.008425,0.050528,0.013828,0.050528,0.013828,0.006797,0.020344,0.03727,0.02857,0.25394,512.14,0.73187,0.012134,4.2513,0.021427,0.27368,3.9863,1.2775,0.98787,13471.0,-3.6251
2278,risky_upgrade,1,1,CCC,B,CCC→B,1,0.26342,-0.15459,0.94607,0.0,0.51941,-0.04241,-0.10231,-0.04241,-0.064084,-0.4928,0.11268,30.87,-0.028051,0.9867157000000019,2.0689,-0.78639,-0.044827,7.6867,1.0452,0.0475312,-464.14,197.3
2279,risky_upgrade,1,1,B,BB,B→BB,1,0.16557,-0.01367,0.39554,0.0,0.006944,-0.000338,0.026688,0.000608,0.031037,0.18428,0.28016,98.0,0.24264,0.014331,2.7722,0.001036,-0.000854,3.6137,1.0452,0.98506,3895.8,-2.6326
2280,risky_upgrade,1,2,CCC,B,CCC→B,1,-0.11587,-0.012673,-0.13379,-0.11746,-0.16276,-0.045295,-0.004238,-0.039774,0.062312,0.26313,0.23937,-200.0,-2.2021499999999996,0.01503,3.237,-0.039936,0.33854,4.1414,1.0452,1.007,-23676.0,-29.393
2281,risky_upgrade,1,1,CCC,B,CCC→B,1,0.34322,0.07657,0.31275,-0.008533,0.30129,0.11983,0.08291,0.22442,0.035845,0.13627,0.23015,2996.0,0.09772,0.012721,3.941,0.3502,0.38315,4.3985,1.0452,0.91937,1073.2,20.226
2282,risky_upgrade,1,1,B,BB,B→BB,1,0.35228,0.14475,0.37031,0.0,0.34493,0.36121,0.14939,0.60305,0.62183,0.097977,0.16997,694.0,0.034772,0.15254,3.2945,1.0189,0.97541,6.8928,1.0452,0.85184,376.95,36.465
2283,risky_upgrade,1,2,B,BB,B→BB,1,-0.057889,-0.12037,0.53183,-0.064572,0.37236,-0.064572,-0.038537,-0.064572,-0.047885,0.45064,0.21212,-3458.6,-1.0041,-0.091383,4.7763,-0.39412,-0.17341,4.3195,0.58733,1.0914,-4326.9,-50.177
2284,risky_upgrade,1,2,CCC,B,CCC→B,1,-0.039657,-0.16581,0.22845,0.0,0.18803,-0.24945,-0.18321,-0.24945,-0.35961,0.54238,0.36694,-162.0,-0.11393,0.18015,3.6112,-0.38923,-1.0919,2.1245,1.0452,0.74941,-1129.0,-77.255
2286,risky_upgrade,1,0,CCC,B,CCC→B,1,0.06414,-0.36478,0.55182,-0.78293,-1.2134,-0.43043,-0.28994,-0.43043,-0.39014,1.4355,0.28319,242.0,-0.24418,-0.33792,3.5767,-0.96095,0.62995,2.5775,1.0452,1.2338,-1835.4,-58.789
2287,risky_upgrade,1,1,A,AA,A→AA,0,0.15435,0.064933,0.5535,0.10679,0.5535,0.10679,0.074814,0.085521,0.11514,0.25338,0.28616,7725.5,0.088239,0.10484,4.6994,0.2325,0.19293,3.9038,1.1702,0.89516,1249.8,9.4862
2290,risky_upgrade,1,1,BBB,A,BBB→A,0,0.033519,0.036546,0.54355,0.11057,0.54355,0.11057,0.095615,0.14539,0.15379,0.1828,0.19466,4982.0,0.0611,0.051718,5.1721,0.34792,0.20342,5.4172,1.1451,0.94828,704.68,-12.782
2292,risky_upgrade,1,1,BB,BBB,BB→BBB,0,-0.036187,0.049203,0.53303,0.0807,0.38948,0.0807,0.0862,0.10584,0.12018,0.33927,0.29458,-934.47,0.12393,0.078973,4.412,0.23369,0.2072,3.6857,1.1097,0.92103,1513.0,-47.223
2293,risky_upgrade,1,1,B,BB,B→BB,1,-0.16722,-0.054425,0.35737,-0.016449,0.065246,-0.016449,0.080478,0.001304,0.035799,0.64944,0.46289,-1960.2,0.20461,0.035441,4.069,0.00205,-0.25211,2.2397,0.89988,0.96456,2955.3,-87.987
2294,risky_upgrade,1,2,CCC,B,CCC→B,1,-0.31883,-0.16364,0.47447,0.0,0.16813,-0.0582,-0.054001,-0.0582,-0.060398,1.2601,0.88639,-8124.0,-1.0044,-0.11915,4.4062,-0.11381,-0.1637,0.99194,1.0452,1.077,-8587.4,-232.69
2296,risky_upgrade,1,1,BB,BBB,BB→BBB,0,-0.04419,0.059049,0.54329,0.19461,0.48037,0.19461,0.077577,0.19461,0.19569,0.17848,0.17165,-7038.7,0.076665,0.06928,5.2022,0.42643,0.40513,6.2595,1.0774,0.93072,855.27,-32.345
2297,risky_upgrade,1,1,B,BB,B→BB,1,0.44818,0.084515,0.44818,0.19922,0.44818,0.19922,0.084426,0.29827,0.29859,0.14155,0.17061,510.07,0.060758,0.084528,3.0562,0.54053,0.44452,6.4025,1.0784,0.91547,675.26,49.559
2298,risky_upgrade,1,1,B,BB,B→BB,1,0.040778,0.026751,0.42606,0.0,0.20998,0.054356,0.048536,0.067648,0.08818,0.33249,0.25538,281.0,0.18385,0.040372,3.8383,0.12555,0.21441,4.056,1.0452,0.95488,2568.2,-0.6885
2299,risky_upgrade,1,1,B,BB,B→BB,1,-0.005056,0.048118,0.16983,0.12983,0.16424,0.12983,0.070698,0.17568,0.16517,0.27041,0.30003,-87.0,0.13841,0.065901,4.2357,0.21852,0.79052,3.5682,1.1391,0.9341,1457.0,-53.8
2300,risky_upgrade,1,2,B,BB,B→BB,1,0.035068,-0.066761,0.74351,-0.11637,-0.14303,-0.026677,-0.017693,-0.026677,-0.090266,1.2415,0.24255,446.0,-0.97855,-0.10017,4.1044,-0.11008,0.19288,3.7219,1.0452,0.97442,-26037.0,-70.431
2301,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.032645,0.023032,0.16429,0.0,0.075112,0.005095,0.019801,0.007222,0.031198,0.96385,0.97109,-452.0,0.69909,0.035031,4.1413,0.008642,0.038337,1.0659,1.0452,0.9653,17945.0,-304.7
2302,risky_upgrade,1,1,CCC,B,CCC→B,1,0.026796,0.023923,0.19009,0.0,0.1004,0.02019,0.017347,0.080096,0.12803,0.29685,0.2684,370.09,0.3312,0.042514,4.1402,0.054874,0.1941,3.8275,1.1255,0.98567,6260.3,-61.716
2304,risky_upgrade,1,2,CCC,B,CCC→B,1,0.48386,-0.19162,0.92345,-0.37964,-0.51888,-0.13923,-0.11497,-0.1373,-0.13481,-0.4134,0.074581,250.7,-0.025306,-0.15135,2.7144,-1.7937,-0.15078,11.635,1.0452,1.1198,-272.87,175.7
2305,risky_upgrade,1,1,B,BB,B→BB,1,0.03453,-0.002535,0.21398,0.026854,0.074672,0.026854,0.038997,0.026166,0.030524,0.46237,0.48805,5974.0,0.44822,0.015915,5.2381,0.035041,0.35963,2.0821,1.7466,0.98409,5333.9,-67.885
2306,risky_upgrade,1,1,BB,BBB,BB→BBB,0,-0.28077,-0.076131,0.000383,-0.12072,0.000383,-0.12072,-0.037716,-0.12072,-0.057575,0.59516,0.58005,-8611.1,7.4916,-0.064195,4.4867,-0.12487,-2.9482139999999997,1.62,0.99876,1.0642,-5973.9,-146.66
2307,risky_upgrade,1,1,BBB,A,BBB→A,0,-0.14984,0.18071,0.52765,0.34986,0.39059,0.34986,0.19755,0.34986,0.36098,0.31081,0.3099,-1742.6,0.052398,0.1889,4.0656,0.74067,0.89571,3.9784,1.0452,0.8111,599.16,-39.071
2308,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.12931,0.039766,0.11314,0.0,0.071814,0.028993,0.020794,0.099955,-0.13183,0.62569,0.52431,-769.0,0.53628,0.019537,3.7743,0.036169,0.26853,1.7395,1.3126,0.80005,11230.0,-51.683
2309,risky_upgrade,1,1,BB,BBB,BB→BBB,0,0.31911,0.078054,0.52408,0.14628,0.51035,0.14628,0.091599,0.21317,0.23457,0.17277,0.18645,12979.0,0.057398,0.09428,4.6093,0.47831,0.28662,5.9216,1.4141,0.90572,693.64,-17.204
2310,risky_upgrade,1,1,B,BB,B→BB,1,0.084962,0.001087,0.41379,0.008618,0.41379,0.008618,0.02518,0.0033,0.032121,0.37175,0.41513,2055.4,0.28393,0.031546,4.3837,0.006087,0.020826,2.4873,0.91313,0.96845,5827.8,-74.652
2313,risky_upgrade,1,1,BB,BBB,BB→BBB,0,-0.097511,0.008104,0.070876,0.0,0.041122,0.096136,0.042844,0.096136,0.15427,0.23668,0.24425,-1049.8,0.18268,0.039584,4.0321,0.10347,1.9071,4.1946,1.0452,0.97798,2075.7,-22.97
2314,risky_upgrade,1,2,CCC,B,CCC→B,1,0.080968,-0.011736,0.41888,0.0,0.3771,-0.074176,-0.006864,-0.090132,-0.061778,0.072038,0.076986,49.83,-0.47609,-0.008317,2.7892,-0.12764,-0.17708,12.775,1.0506,1.0085,-4162.6,-22.027
2315,risky_upgrade,1,1,B,BB,B→BB,1,0.32198,-0.000562,0.39381,0.0,0.088981,-0.009092,0.002528,0.079759,0.000641,0.23396,0.15861,2873.0,1.3852,0.000183,3.9505,-0.003991,-0.076107,6.2832,1.0301,0.99287,34585.0,-8.5706
2316,risky_upgrade,1,0,CCC,B,CCC→B,1,-0.6585,-0.31475,-0.64464,-0.74089,-1.5009,-0.5767976,-0.51963,-0.76,-0.41168,1.6491,0.90324,-229.87,-0.20539,-0.29297,2.5429,-0.4621,0.55979,0.85439,1.0452,1.1982,-1178.5,-255.38
2317,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.011046,0.022754,0.18934,0.011514,0.18934,0.011514,0.025455,0.014275,0.023801,1.0209,1.0582,-517.0,0.89596,0.033841,4.6703,0.017677,0.06081,0.97809,1.2334,0.96616,14660.0,-251.79
2318,risky_upgrade,1,2,CCC,B,CCC→B,1,-0.27738,-0.054213,0.34548,-0.94625,-0.49752,-0.11342,-0.022488,-0.11342,-0.094894,0.41543,0.25258,-3189.0,-1.7084,-0.038082,4.0606,-0.17331,2.1378,3.8111,1.0452,1.031,-6853.1,-49.219
2319,risky_upgrade,1,2,CCC,B,CCC→B,1,-0.21999,-0.12761,0.26946,-0.13631,0.091968,-0.13631,-0.091372,-0.1353,-0.089506,0.73375,0.53657,-21224.0,-0.52243,-0.062613,4.9844,-0.23116,-1.4821,1.7539,1.1596,1.0626,-2968.2,-117.04
2320,risky_upgrade,1,2,BB,BBB,BB→BBB,0,0.061508,-0.18111,0.59202,-0.12323,0.58637,-0.12323,-0.11281,-0.12323,-0.087228,0.50466,0.49846,915.01,-0.26712,-0.003413,4.1725,-0.3441,-0.21016,1.9993,1.0501,1.0034,-1643.8,18.645
2321,risky_upgrade,1,0,CCC,B,CCC→B,1,-1.00064,-0.21463,-0.61242,-0.24513,-0.61242,-0.24513,-0.087655,-0.24513,-0.19886,1.0625,0.98051,-40775.49,-0.63331,-0.10313,5.021,-0.1543,0.40027,0.92454,0.92724,1.1031,-4503.9,-353.25
2322,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.12723,0.059223,-0.008165,-0.038694,-0.011502,0.027192,0.023652,0.036351,0.056869,0.66388,0.62709,-1792.0,0.51373,0.1056,4.1488,0.036981,-0.067513,1.5635,1.0452,1.0623,14085.0,-41.596
2324,risky_upgrade,1,1,B,BB,B→BB,1,-0.10743,0.004943,0.56348,0.051957,0.22699,0.051957,0.054667,0.072549,0.090686,0.28002,0.1642,-3151.0,0.15117,0.032083,4.4673,0.16669,0.2289,6.2919,1.0227,0.96792,1881.6,-25.193
2325,risky_upgrade,1,1,B,BB,B→BB,1,-0.21231,-0.002769,0.4392,0.003625,0.19389,0.003625,0.047152,0.010335,0.033993,0.78453,0.56654,-7064.0,0.36717,0.037075,4.5221,0.018968,0.018698,1.8331,0.83583,0.96293,6124.3,-166.44
2326,risky_upgrade,1,1,B,BB,B→BB,1,0.30547,-0.029713,0.49282,0.0,0.12017,-0.029387,0.000749,-0.046645,-0.02776,0.44236,0.23891,1027.0,1.2636,-0.018826,3.5266,-0.080984,-0.085615,4.0492,1.147,1.0043,37403.399999999994,6.3828
2327,risky_upgrade,1,0,CCC,B,CCC→B,1,-0.56199,-0.57451,0.29079,-0.37449,0.29079,-0.37449,-0.42711,-0.37449,-0.30151,1.0279,0.7418,-40775.49,-0.10623,-0.38944,5.0371,-0.53836,-1.2879,0.97023,0.56186,1.3894,-880.8,-263.48
2328,risky_upgrade,1,2,BB,BBB,BB→BBB,0,0.03199,-0.22739,0.69403,-0.050274,0.56054,-0.050274,0.041211,-0.050274,-0.098789,0.52579,0.3297,552.58,-0.89369,-0.092434,4.2374,-0.17434,-0.089689,2.7764,0.82846,1.0924,4666.7,-116.31
2329,risky_upgrade,1,1,B,BB,B→BB,1,0.13287,0.022632,0.39346,0.0,0.084299,0.061995,0.042836,0.076314,0.076939,0.24169,0.231,1365.0,0.17879,0.028691,4.0117,0.12655,0.23889,4.4504,1.0452,0.96295,2350.7,0.96317
2330,risky_upgrade,1,1,B,BB,B→BB,1,0.10718,-0.001691,0.33312,-0.000201,0.21224,0.014176,0.018924,0.045587,0.11575,0.097966,0.11348,58.52,0.18063,0.019784,2.7372,0.06836,0.042556,8.8849,1.0452,0.98999,2170.8,-0.30642
2331,risky_upgrade,1,2,CCC,B,CCC→B,1,-0.005038,-0.59597,0.86684,-0.12635,-0.36106,-0.47916,-0.5750552000000001,-0.47916,-0.11464,2.6335,0.30039,-102.0,-0.42224,-0.37768,4.3063,-2.09503,-2.9482139999999997,2.3466,1.0452,1.3875,-746.46,-25.824
2332,risky_upgrade,1,1,BB,BBB,BB→BBB,0,0.12697,-0.007529,0.5108,0.041573,0.42135,0.041573,0.05156,0.056324,0.07,0.18794,0.17088,314.0,0.1161,0.018464,3.3932,0.11705,0.098666,5.9622,1.2676,0.98154,1408.1,-34.605
2333,risky_upgrade,1,0,CCC,B,CCC→B,1,-0.66793,-0.094364,-0.48448,-0.18039,-0.48448,-0.18039,-0.063192,-0.18039,-0.16024,0.56046,0.5513,-33512.0,-0.36032,-0.07097,4.7005,-0.14132,0.37233,1.6937,1.067,1.071,-3410.3,-137.96
2335,risky_upgrade,1,1,B,BB,B→BB,1,0.017081,0.036503,0.26568,0.015598,0.17384,0.015598,0.033923,0.016105,0.098513,0.48986,0.46308,223.19,0.1928,0.051038,4.1162,0.022519,0.089726,2.2756,0.98727,0.94896,5335.4,-121.37
2336,risky_upgrade,1,1,B,BB,B→BB,1,0.084571,0.00376,0.21856,0.008135,0.21856,0.008135,0.019639,0.008135,0.04868,0.30856,0.32721,1162.0,0.29118,0.016455,4.138,0.01041,0.037219,3.1073,1.2337,0.98354,5981.4,-70.164
2337,risky_upgrade,1,1,B,BB,B→BB,1,0.22532,-0.02941,0.48394,0.020529,0.21293,0.020529,0.066587,0.020529,0.017951,0.7002,0.44292,4237.0,0.35915,0.010276,4.2743,0.045245,0.096411,2.2812,1.246,0.98972,3838.2,-142.82
2338,risky_upgrade,1,1,B,BB,B→BB,1,0.041667,0.005093,0.22288,-0.027859,0.037643,0.021448,0.03312,0.031924,0.056152,0.24482,0.21313,466.0,0.16034,0.017567,4.0486,0.046979,0.10199,4.7037,1.0452,0.97117,2722.5,-45.586
2340,risky_upgrade,1,2,CCC,B,CCC→B,1,0.14399,-0.086133,0.45436,-0.18616,0.061743,-0.18616,-0.082855,-0.18611,-0.065551,0.50628,0.24836,2950.0,-2.2021499999999996,-0.030382,4.3115,-0.48835,-2.9482139999999997,3.9077,1.3508,1.0304,-2288.8,-17.373
2341,risky_upgrade,1,1,B,BB,B→BB,1,-0.08724,0.009013,0.4733,0.30105,0.43773,0.30105,0.038123,0.30105,0.31105,0.03293,0.031948,-293.09,0.028721,0.022235,3.5263,0.74214,0.68775,32.013,1.1768,0.97776,325.3,-5.7555
2342,risky_upgrade,1,1,B,BB,B→BB,1,0.11143,0.034501,0.42364,0.0,0.21716,0.091136,0.052207,0.11926,0.046992,0.2432,0.18904,313.0,0.15777,0.017185,3.4486,0.22635,0.27527,5.1899,1.0452,0.95162,1710.3,-5.2866
2344,risky_upgrade,1,1,B,BB,B→BB,1,-0.18052,-0.030894,0.31897,-0.057133,0.11481,-0.057133,-0.020892,-0.057133,0.009593,0.92452,0.74028,-31287.0,0.60378,0.015555,5.2388,-0.085398,-0.49765,1.3722,2.0856,0.98444,-16617.0,-127.23
2345,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.20862,0.009521,0.091937,-0.035472,-0.1553,-0.035472,0.020886,-0.014404,0.076063,0.426,0.31683,-6440.0,0.21699,0.020401,4.4895,-0.022886,0.22841,3.2219,1.331,0.9796,7554.8,-92.767
2346,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.006559,-0.009718,0.14691,0.017112,0.11882,0.017112,0.022089,0.02061,0.023629,0.23626,0.23852,-31.05,0.35186,0.003937,3.6752,0.024259,0.14402,4.2091,1.2528,0.99606,4055.7,-26.103
2347,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.022791,0.010951,0.56676,0.0,0.26351,0.028389,0.008202,0.028389,0.018138,0.13725,0.08382,-105.0,0.44172,0.10297,3.6634,0.098191,0.057064,11.971,1.0452,0.89213,6457.8,-12.081
