feature,U_stat,p_value,sig_05,sig_01,sig_001,risky_median,safe_median,median_diff,n_risky,n_safe,effect_r
Attr22,4862435.0,1.0806258741144915e-29,True,True,True,0.0057,0.0336,-0.0279,1074,11440,0.2084952989282598
Attr11,4887485.0,1.3443983000381567e-28,True,True,True,0.0071,0.0392,-0.0321,1074,11440,0.20441767264392963
Attr42,4936209.5,1.4811680562801155e-26,True,True,True,0.0043,0.0177,-0.0134,1074,11440,0.1964863232670495
Attr55,4969449.5,3.4054154374036226e-25,True,True,True,21.815,310.045,-288.23,1074,11440,0.19107553294005808
Attr45,4976178.5,6.296938766220497e-25,True,True,True,0.0084,0.0987,-0.0903,1074,11440,0.18998018973577635
retained_earnings_to_assets,5026402.0,3.0849629787152086e-24,True,True,True,0.0,0.0,0.0,1074,11440,0.18180483389980595
Attr38,5049391.0,4.307926089525558e-22,True,True,True,0.3784,0.4708,-0.0924,1074,11440,0.17806269614928838
Attr54,5056837.5,8.1663801683438945e-22,True,True,True,0.9136,1.1271,-0.2135,1074,11440,0.17685055865921784
book_value_equity_to_liabilities,5079923.0,5.7880635538322875e-21,True,True,True,0.356,0.5582,-0.2023,1074,11440,0.17309271268768478
total_liabilities_to_assets,7206411.0,5.8987499082728675e-21,True,True,True,0.7242,0.6282,0.0959,1074,11440,-0.17305592452240504
Attr17,5084810.0,8.713994528611368e-21,True,True,True,1.3809,1.5916,-0.2107,1074,11440,0.17229720930838244
equity_to_assets,5097281.0,2.4547117113956757e-20,True,True,True,0.2596,0.3497,-0.0901,1074,11440,0.17026718625880632
working_capital_to_assets,5124595.5,2.2745942784715954e-19,True,True,True,0.0154,0.0898,-0.0744,1074,11440,0.16582094581396256
Attr63,5125063.5,2.362395668400282e-19,True,True,True,3.1004,3.9628,-0.8623,1074,11440,0.1657447650115248
Attr62,7145277.0,8.618173509104715e-19,True,True,True,115.27,91.4875,23.7825,1074,11440,-0.16310456303473053
current_assets_to_short_liabilities,5142247.0,9.301160260994702e-19,True,True,True,1.0313,1.1849,-0.1536,1074,11440,0.16294764360406822
Attr48,5143997.5,1.0678784468651257e-18,True,True,True,-0.0281,-0.0013,-0.0268,1074,11440,0.16266269810264222
Attr53,5149615.0,1.6612766222789512e-18,True,True,True,0.6806,0.9192,-0.2387,1074,11440,0.16174828430415022
Attr28,5151618.0,1.943833208133419e-18,True,True,True,0.0364,0.2319,-0.1955,1074,11440,0.1614222369808962
Attr41,5156152.5,2.77183840924125e-18,True,True,True,0.0659,0.1371,-0.0711,1074,11440,0.16068411337266086
Attr50,5181931.5,2.0203095434839496e-17,True,True,True,0.8196,0.9745,-0.1548,1074,11440,0.15648782083837953
Attr40,5208267.5,1.4570683049253887e-16,True,True,True,0.0615,0.1024,-0.0409,1074,11440,0.15220086012683776
Attr51,7078060.5,1.4820587671757965e-16,True,True,True,0.5551,0.4745,0.0806,1074,11440,-0.1521630952846036
Attr30,7071069.0,2.481991115035858e-16,True,True,True,0.3681,0.2852,0.0828,1074,11440,-0.15102502246356986
Attr32,7051492.0,1.0302490763092027e-15,True,True,True,114.38,93.798,20.582,1074,11440,-0.1478382883410816
Attr49,5240028.0,1.4699709280626552e-15,True,True,True,-0.014,-0.0005,-0.0135,1074,11440,0.14703090205883507
Attr15,5307310.5,1.5241914566164732e-13,True,True,True,458.115,1499.95,-1041.835,1074,11440,0.13607869086221036
cash_to_current_liabilities,5324273.5,4.649622814976451e-13,True,True,True,-45.708,-26.7895,-18.9185,1074,11440,0.1333174623328255
Attr56,5440841.5,5.455906655078997e-10,True,True,True,0.0102,0.0217,-0.0115,1074,11440,0.11434258246409079
Attr52,6844670.5,5.787083810394334e-10,True,True,True,0.3016,0.2568,0.0449,1074,11440,-0.11417198955606778
Attr33,5473877.5,3.3484088635280232e-09,True,True,True,3.3278,3.8826,-0.5548,1074,11440,0.10896499915354663
Attr57,5527978.0,5.459945368969365e-08,True,True,True,0.0263,0.0675,-0.0412,1074,11440,0.10015854722558637
Attr29,5607567.5,2.2175118320754673e-06,True,True,True,3.8296,3.9198,-0.0901,1074,11440,0.0872030088161373
Attr21,5639317.0,8.156139266233433e-06,True,True,True,1.0452,1.0452,0.0,1074,11440,0.08203484132255079
sales_to_assets,5680506.5,4.3477703980612584e-05,True,True,True,1.1538,1.2068,-0.053,1074,11440,0.07533003542081751
Attr58,6510744.0,0.0011695598105013049,True,True,False,0.9864,0.9824,0.004,1074,11440,-0.05981560339102243
Attr59,5820326.5,0.002963962955796023,True,True,False,0.0,0.0066,-0.0066,1074,11440,0.052570206795067076
Attr64,5810787.0,0.0033109900879309574,True,True,False,4.2825,4.6686,-0.386,1074,11440,0.05412304176270655
Attr47,5878638.5,0.019388180940253037,True,False,False,36.105,37.7065,-1.6015,1074,11440,0.043078209034912995
Attr60,5897840.0,0.030132248767729564,True,False,False,9.5238,9.7917,-0.2679,1074,11440,0.03995259861181644
Attr43,6358793.5,0.056928712970226274,False,False,False,101.645,97.2525,4.3925,1074,11440,-0.03508117813285416
Attr34,5950526.5,0.08860619543304386,False,False,False,1.6932,1.8374,-0.1443,1074,11440,0.031376316886093436
Attr36,5973623.5,0.13393691301969735,False,False,False,1.7186,1.8092,-0.0907,1074,11440,0.027616598950397808
Attr27,6013680.5,0.25214440674480343,False,False,False,1.0841,0.5293,0.5548,1074,11440,0.021096140823794407
Attr37,6067757.0,0.48714661932320347,False,False,False,3.0963,3.0963,0.0,1074,11440,0.012293595603651508
Attr44,6077945.0,0.5638247752375689,False,False,False,48.1785,50.2685,-2.09,1074,11440,0.010635198135198087
Attr61,6186535.0,0.7023770547452706,False,False,False,7.5566,7.2317,0.3249,1074,11440,-0.007041026943261475
Attr20,6131070.5,0.9141068047127036,False,False,False,37.475,36.866,0.609,1074,11440,0.001987456212316552
