,group,is_risky,cluster,from_grade,to_grade,transition,high_risk_transition,Attr49,working_capital_to_assets,Attr30,Attr25,Attr52,Attr24,Attr13,Attr35,Attr38,retained_earnings_to_assets,Attr55,Attr56,Attr29,Attr41,Attr57,cash_to_current_liabilities,Attr26,Attr58,Attr21,Attr53,Attr63,Attr45,Attr15
2242,risky_upgrade,1,3,CCC,B,CCC→B,1,-0.020167,0.28123,0.90386,0.25226,0.39831,-0.044683,-0.06312,-0.016366,0.69487,0.0,2330.0,0.38858,3.9183,-1.5553,-0.13389,-69.19,-0.067077,0.61496,1.0452,0.78329,2.4186,-0.14087,-5441.5
2243,risky_upgrade,1,3,B,BB,B→BB,1,0.018978,0.5345,0.1235,0.30854,0.19165,0.10755,0.000171,0.038117,0.63529,0.0,2084.0,0.11199,3.591,0.33315,-0.001583,57.287,-0.002759,0.88631,1.0647,6.126,5.3135,-0.004369,37403.399999999994
2244,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.16325,-0.042658,0.74985,0.15258,0.68496,-0.15655,-0.12354,-0.087692,0.28562,0.0,-1472.0,0.10808,4.5379,-0.25758,-0.62305,-180.11,-0.14233,0.9941,0.81904,0.60537,1.5124,-0.33633,-2264.6
2245,risky_upgrade,1,3,CCC,B,CCC→B,1,0.014091,0.076413,0.4085,-0.29155,0.28341,0.006197,0.002297,0.034514,-0.024459,-0.48609,346.0,0.095121,3.6559,1.0356,-0.033885,-21.365,0.005196,0.90536,1.0452,-1.3152,3.4324,0.027515,37403.399999999994
2246,risky_upgrade,1,3,CCC,B,CCC→B,1,0.006736,0.1328,0.24066,0.003016,0.1465,0.014522,0.004444,0.01527,0.45961,-0.028693,11714.0,0.17591,4.9455,1.2005,0.026762,-8.8959,0.006989,0.81735,1.0452,0.53581,6.7985,0.030546,19929.0
2247,risky_upgrade,1,3,CCC,B,CCC→B,1,-0.006009,0.015501,0.23907,-0.13278,0.24117,-0.026417,-0.008052,-0.018388,0.20177,-0.14917,1251.0,0.83921,4.9069,-1.3497,-0.13013,-7.9381,-0.032893,0.16267,1.0452,1.0786,4.1144,-0.30155,-11029.0
2248,risky_upgrade,1,3,CCC,B,CCC→B,1,0.004236,-0.25033,0.14883,0.18558,0.15789,0.011348,0.002401,0.22497,0.25567,0.013351,-375.0,0.3074,3.1755,1.2389,0.018277,-24.571,0.006278,0.7358,1.0452,0.50528,6.3516,0.1129,23940.0
2249,risky_upgrade,1,0,B,BB,B→BB,1,0.076524,0.62386,-0.043496,0.71313,0.059408,0.63115,0.078266,0.33831,0.75687,0.0,998.18,0.15726,3.2041,0.023952,0.38227,44.825,1.1906,0.84141,1.184,5.6697,18.186,2.5239,256.44
2250,risky_upgrade,1,3,CCC,B,CCC→B,1,0.006179,0.16066,0.34863,0.21417,0.19387,0.09117,0.034948,0.042873,0.25869,0.0,1057.0,0.019963,3.8182,0.29682,0.13088,-27.55,0.086029,0.97279,1.1786,0.52661,5.263,0.095759,3758.8
2252,risky_upgrade,1,3,CCC,B,CCC→B,1,0.084149,0.009781,2.2213,0.23452,0.50872,0.014633,0.057219,0.028624,0.3929,-0.036908,945.75,0.2931,4.9854,0.56672,0.020126,-82.0,0.022685,0.78308,1.3035,0.42461,2.7711,0.29687,14177.0
2253,risky_upgrade,1,3,B,BB,B→BB,1,0.037605,0.34873,0.18544,0.52057,0.18426,0.081531,0.071544,4.5e-05,0.66696,0.0,2.1786,0.19478,5.044,0.075943,0.092925,20.734,0.31749,0.78324,0.97972,1.8767,5.2721,0.24426,1089.2
2254,risky_upgrade,1,3,CCC,B,CCC→B,1,0.018328,-0.010134,0.24693,0.15975,0.18847,0.031024,0.01197,0.037434,0.33637,-0.17629,-28.0,0.19746,3.4414,0.46552,0.10315,-28.994,0.052302,0.79987,1.0452,0.63789,5.3721,0.17961,7805.0
2255,risky_upgrade,1,3,B,BB,B→BB,1,0.044889,-0.061528,0.1939,0.21404,0.19412,0.14912,0.038926,0.21724,0.26204,0.0,-439.0,0.1118,3.8534,0.14417,0.54978,-29.792,0.18937,0.90022,1.0452,0.73325,5.3796,0.58841,1820.5
2257,risky_upgrade,1,3,B,BB,B→BB,1,0.006808,0.13068,0.25336,0.37047,0.25709,0.039905,0.02881,0.03968,0.39851,0.0,233.0,0.016837,3.2512,0.27617,0.067427,-21.687,0.091651,0.9757,1.0452,1.487,3.9338,0.10202,3220.7
2259,risky_upgrade,1,3,B,BB,B→BB,1,8e-06,-0.041939,0.63206,0.029503,0.36471,0.028733,0.05074,0.048998,0.45833,0.020089,-756.0,0.033972,4.2559,0.32496,0.68093,-64.487,0.071323,0.96603,1.0629,0.058745,2.8383,0.097452,4548.4
2260,risky_upgrade,1,3,CCC,B,CCC→B,1,-0.000599,-0.43695,0.38949,0.019747,0.33601,0.014975,0.016172,0.023017,0.20619,0.0,-2578.0,0.00969,3.7709,0.67981,0.18026,-112.92,0.038977,0.99062,1.0452,0.10961,3.0009,0.043174,8817.1
2262,risky_upgrade,1,3,CCC,B,CCC→B,1,0.01394,-0.016243,0.32514,0.22217,0.083258,0.00659,0.003297,-0.005636,0.34135,0.0,-43.06,0.32346,3.4234,0.78787,0.001647,-16.708,0.000853,0.66397,1.0452,0.40183,11.979,0.007624,36479.0
2263,risky_upgrade,1,0,B,BB,B→BB,1,-0.028926,0.58897,-0.26065,0.93042,0.03485,0.019145,0.061881,0.013439,0.96355,0.0,888.76,0.012706,3.1787,0.020111,0.015344,142.62,1.6453,0.98226,1.0452,2.5714,28.514,0.080746,206.86
2267,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.012673,-0.11587,0.26313,-0.16276,0.23937,-0.039774,-0.004238,0.062312,-0.13379,-0.11746,-200.0,0.01503,3.237,-2.2021499999999996,0.33854,-29.393,-0.020286,1.007,1.0452,-1.1135,4.1414,-0.20654,-23676.0
2268,risky_upgrade,1,3,CCC,B,CCC→B,1,0.07657,0.34322,0.13627,0.30129,0.23015,0.22442,0.08291,0.035845,0.31275,-0.008533,2996.0,0.012721,3.941,0.09772,0.38315,20.226,0.18789,0.91937,1.0452,19.718,4.3985,0.64211,1073.2
2269,risky_upgrade,1,0,B,BB,B→BB,1,0.22639,0.39256,0.011402,0.42002,0.10615,1.1629,0.25446,0.6873924000000006,0.42002,0.8147872000000004,702.64,-0.026376,3.2528,0.012379,2.7113,24.438,2.2931,1.0264,0.74012,10.723,9.1783,53.541990000000055,156.29
2270,risky_upgrade,1,3,B,BB,B→BB,1,-0.005162,0.072921,0.21825,0.069558,0.1329,0.043024,0.027643,0.074473,0.44172,0.0,328.0,0.017643,3.653,0.24702,0.50101,-15.904,0.11664,0.98683,1.0452,0.1887,7.5619,0.22644,2910.2
2271,risky_upgrade,1,3,B,BB,B→BB,1,0.14475,0.35228,0.097977,0.34493,0.16997,0.60305,0.14939,0.62183,0.37031,0.0,694.0,0.15254,3.2945,0.034772,0.97541,36.465,0.58408,0.85184,1.0452,6.626,6.8928,0.282825,376.95
2272,risky_upgrade,1,3,B,BB,B→BB,1,-0.017064,-0.004944,0.42846,0.30559,0.44707,0.00024,0.035083,0.02564,0.30559,0.00024,-34.42,0.01724,3.8428,0.27375,0.000785,-75.571,0.079849,0.98276,0.89122,0.81734,2.276,0.000854,4571.2
2273,risky_upgrade,1,1,B,BB,B→BB,1,-0.12037,-0.057889,0.45064,0.37236,0.21212,-0.064572,-0.038537,-0.047885,0.53183,-0.064572,-3458.6,-0.091383,4.7763,-1.0041,-0.17341,-50.177,-0.084355,1.0914,0.58733,0.41648,4.3195,-1.4538,-4326.9
2274,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.16581,-0.039657,0.54238,0.18803,0.36694,-0.24945,-0.18321,-0.35961,0.22845,0.0,-162.0,0.18015,3.6112,-0.11393,-1.0919,-77.255,-0.32329,0.74941,1.0452,0.57324,2.1245,-0.74926,-1129.0
2275,risky_upgrade,1,3,BB,BBB,BB→BBB,0,0.059148,-0.038953,0.14091,0.54229,0.12815,0.14686,0.063011,0.23162,0.63033,0.10315,-2575.0,0.068997,4.8202,0.053745,0.19022,-15.231,0.33104,0.931,1.1594,0.81023,8.3814,1.2847,855.75
2276,risky_upgrade,1,3,CCC,B,CCC→B,1,0.068106,0.083558,1.1068,0.087732,1.193,0.071652,0.014595,0.066441,0.093365,0.0,1241.0,0.080961,4.1718,0.4552,0.065026,-171.77,0.012378,0.88167,0.45087,9.3317,0.90532,0.01349,27691.0
2277,risky_upgrade,1,2,CCC,B,CCC→B,1,-0.36478,0.06414,1.4355,-1.2134,0.28319,-0.43043,-0.28994,-0.39014,0.55182,-0.78293,242.0,-0.33792,3.5767,-0.24418,0.62995,-58.789,-0.19887,1.2338,1.0452,-1.4011,2.5775,-1.4764,-1835.4
2279,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.014646,-0.5735,1.7259,-0.19216,1.6777,-0.059031,-0.099491,-0.00869,-0.19216,-0.050954,-8876.0,-0.033867,4.1897,-2.2021499999999996,0.26517,-425.5,-0.049511,1.0339,0.6929,-0.353,0.57653,-0.3373,-6363.3
2280,risky_upgrade,1,3,A,AA,A→AA,0,0.081685,0.35747,0.38952,0.45877,0.29512,0.13287,0.1158,0.14071,0.62872,0.11104,9577.4,0.094691,4.428,0.10552,0.24205,-27.496,0.25663,0.90531,1.3834,1.6841,3.7428,0.24651,1228.8
2281,risky_upgrade,1,3,BB,BBB,BB→BBB,0,-0.021384,-0.072105,0.61382,0.34583,0.63696,0.00235,0.057654,0.033895,0.37779,0.000621,-2719.6,0.032597,4.5765,0.23884,0.001796,-99.97,0.08628,0.9674,1.0032,0.75782,1.6229,0.003458,4103.5
2282,risky_upgrade,1,0,B,BB,B→BB,1,0.3816567000000009,0.047077,0.34142,0.24154,0.21302,0.59531,0.7681938000000001,0.63944,0.24154,0.59531,3951.3,-0.61703,4.9239,0.002145,2.4647,90.585,9.224649999999944,1.617,0.93216,0.26584,2.903,53.541990000000055,25.469
2283,risky_upgrade,1,3,B,BB,B→BB,1,-0.054425,-0.16722,0.64944,0.065246,0.46289,0.001304,0.080478,0.035799,0.35737,-0.016449,-1960.2,0.035441,4.069,0.20461,-0.25211,-87.987,0.10437,0.96456,0.89988,0.12278,2.2397,-0.12046,2955.3
2284,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.16364,-0.31883,1.2601,0.16813,0.88639,-0.0582,-0.054001,-0.060398,0.47447,0.0,-8124.0,-0.11915,4.4062,-1.0044,-0.1637,-232.69,-0.042504,1.077,1.0452,0.44029,0.99194,-1.7865,-8587.4
2285,risky_upgrade,1,3,CCC,B,CCC→B,1,0.017542,0.007627,0.18283,0.19218,0.18922,0.026783,0.010527,0.092478,0.20101,0.021599,56.0,0.01792,3.8658,0.23771,0.11239,-19.869,0.049527,0.98208,1.1508,0.94762,5.3812,0.09119,6515.5
2286,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.04871,-0.085002,0.16666,0.34455,0.16307,-0.12273,-0.012222,-0.11364,0.34455,-0.11865,-730.0,-0.029356,3.9339,-0.55857,-0.34437,-43.699,-0.066556,1.0294,1.0452,0.79415,5.9576,-0.30518,-5012.7
2287,risky_upgrade,1,3,B,BB,B→BB,1,0.058367,0.26468,0.21053,0.085157,0.28878,0.1324,0.052194,0.20055,0.090913,0.0,2299.0,0.074999,3.9388,0.1778,0.88424,37.809,0.096325,0.93881,1.0452,8.9349,3.688,0.282825,2377.3
2288,risky_upgrade,1,3,B,BB,B→BB,1,0.067151,-0.1133,0.35779,0.19792,0.40379,0.12663,0.078035,0.14292,0.3033,0.0,-1343.0,0.076499,4.0738,0.16327,0.63981,-72.484,0.18176,0.92259,1.0452,0.47509,2.6815,0.55224,2008.1
2289,risky_upgrade,1,3,BBB,A,BBB→A,0,0.029411,0.36713,0.15284,0.55559,0.20608,0.080507,0.054817,0.089017,0.55559,0.051751,17973.0,0.036484,4.6898,0.11056,0.093147,14.971,0.20412,0.96352,1.0347,2.3822,5.0362,0.9051,1322.1
2290,risky_upgrade,1,4,CCC,B,CCC→B,1,-0.8681929,-0.25542,4.20196500000005,0.17518,3.241538000000006,-0.23884,-0.5750552000000001,-0.15191,0.17518,-0.20909,-23645.0,-0.6627794,4.9665,-0.16078,-1.1936,-937.44,-0.28767,1.6584000000000014,0.69492,0.30834,0.293002,-4.1059,-1102.8
2291,risky_upgrade,1,3,CCC,B,CCC→B,1,0.023032,-0.032645,0.96385,0.075112,0.97109,0.007222,0.019801,0.031198,0.16429,0.0,-452.0,0.035031,4.1413,0.69909,0.038337,-304.7,0.017887,0.9653,1.0452,0.67449,1.0659,0.007425,17945.0
2292,risky_upgrade,1,3,B,BB,B→BB,1,0.023923,0.026796,0.29685,0.1004,0.2684,0.080096,0.017347,0.12803,0.19009,0.0,370.09,0.042514,4.1402,0.3312,0.1941,-61.716,0.032652,0.98567,1.1255,0.55798,3.8275,0.039105,6260.3
2293,risky_upgrade,1,3,B,BB,B→BB,1,0.021462,-0.071896,0.33404,0.24694,0.35093,0.024111,0.011457,0.045168,0.2493,0.024111,-1891.0,0.017686,4.42,0.52979,0.09764,-37.345,0.033126,0.98231,2.7253499999999997,0.71295,2.9008,0.17475,11018.0
2295,risky_upgrade,1,3,B,BB,B→BB,1,-0.002535,0.03453,0.46237,0.074672,0.48805,0.026166,0.038997,0.030524,0.21398,0.026854,5974.0,0.015915,5.2381,0.44822,0.35963,-67.885,0.069207,0.98409,1.7466,0.34138,2.0821,0.091136,5333.9
2296,risky_upgrade,1,3,B,BB,B→BB,1,-0.076131,-0.28077,0.59516,0.000383,0.58005,-0.12072,-0.037716,-0.057575,0.000383,-0.12072,-8611.1,-0.064195,4.4867,7.4916,-2.9482139999999997,-146.66,-0.061099,1.0642,0.99876,0.001219,1.62,-0.3246,-5973.9
2298,risky_upgrade,1,1,B,BB,B→BB,1,-0.12588,0.26986,0.27046,0.51287,0.2484,-0.15983,-0.078383,-0.15219,0.51287,-0.15983,7131.7,-0.12224,4.4221,-0.12489,-0.31164,-47.554,-0.28118,1.1222,1.1284,1.6853,3.5873,-0.34273,-1298.1
2299,risky_upgrade,1,3,B,BB,B→BB,1,0.001087,0.084962,0.37175,0.41379,0.41513,0.0033,0.02518,0.032121,0.41379,0.008618,2055.4,0.031546,4.3837,0.28393,0.020826,-74.652,0.07244,0.96845,0.91313,1.1097,2.4873,0.025374,5827.8
2300,risky_upgrade,1,2,CCC,B,CCC→B,1,-0.39104,-0.37569,1.4789,-1.1013,1.1415,-0.051229,-0.013222,-0.09587,-0.7113339999999999,-0.053234,-1554.7,-0.32359,3.6168,-0.3655,0.048338,-419.76,-0.012399,1.3236,0.94897,-1.3334,0.66185,-0.40447,-26372.28
2301,risky_upgrade,1,3,B,BB,B→BB,1,-0.020363,0.019355,0.42871,0.27707,0.4062,0.016878,0.044336,0.011596,0.35722,0.016878,668.94,0.037083,4.5386,0.378,0.060916,-91.507,0.096672,0.96292,1.0744,0.53689,2.5566,0.056166,3775.7
2305,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.12761,-0.21999,0.73375,0.091968,0.53657,-0.1353,-0.091372,-0.089506,0.26946,-0.13631,-21224.0,-0.062613,4.9844,-0.52243,-1.4821,-117.04,-0.12428,1.0626,1.1596,0.14491,1.7539,-1.1565,-2968.2
2306,risky_upgrade,1,1,BB,BBB,BB→BBB,0,-0.18111,0.061508,0.50466,0.58637,0.49846,-0.12323,-0.11281,-0.087228,0.59202,-0.12323,915.01,-0.003413,4.1725,-0.26712,-0.21016,18.645,-0.22205,1.0034,1.0501,1.0104,1.9993,-4.6832,-1643.8
2308,risky_upgrade,1,3,A,AA,A→AA,0,0.032354,0.16719,0.28871,0.48261,0.16918,0.078173,0.090277,0.12577,0.70948,0.051322,45702.0,0.095209,5.4367,0.080047,0.10634,-11.971,0.25608,0.90479,1.1381,0.83487,6.533,0.23889,1170.4
2310,risky_upgrade,1,3,CCC,B,CCC→B,1,0.059223,-0.12723,0.66388,-0.011502,0.62709,0.036351,0.023652,0.056869,-0.008165,-0.038694,-1792.0,0.1056,4.1488,0.51373,-0.067513,-41.596,0.019385,1.0623,1.0452,-2.7918,1.5635,0.52109,14085.0
2311,risky_upgrade,1,2,CCC,B,CCC→B,1,-0.010011,-1.00064,0.037806,-1.3727,0.041066,-1.034518,-0.028296,-0.4666,-0.7113339999999999,0.0,-138.98,-0.009713,2.1167,-0.14684,1.3859,-7.8927,-0.68241,1.0073,1.0452,-4.8142759999999996,24.117,0.282825,-534.87
2312,risky_upgrade,1,3,BBB,A,BBB→A,0,0.07261,0.25592,0.20505,0.35722,0.17156,0.21886,0.078593,0.23821,0.56678,0.001042,1243.0,0.091738,3.6864,0.075639,0.30556,8.9011,0.30922,0.91452,1.208,1.3954,6.3155,0.75551,957.78
2313,risky_upgrade,1,3,B,BB,B→BB,1,-0.029713,0.30547,0.44236,0.12017,0.23891,-0.046645,0.000749,-0.02776,0.49282,0.0,1027.0,-0.018826,3.5266,1.2636,-0.085615,6.3828,0.001677,1.0043,1.147,1.0359,4.0492,-0.10544,37403.399999999994
2314,risky_upgrade,1,3,B,BB,B→BB,1,0.022632,0.13287,0.24169,0.084299,0.231,0.076314,0.042836,0.076939,0.39346,0.0,1365.0,0.028691,4.0117,0.17879,0.23889,0.96317,0.13593,0.96295,1.0452,0.98304,4.4504,0.50187,2350.7
2315,risky_upgrade,1,3,CCC,B,CCC→B,1,-0.004831,-0.36401,0.27948,0.057459,0.26667,0.039421,0.038662,0.069504,0.17111,0.039421,-2093.3,0.042314,3.7597,0.19907,0.68608,-63.048,0.13301,0.95769,1.1294,0.10606,3.9157,0.2476,2744.2
2316,risky_upgrade,1,3,B,BB,B→BB,1,-0.001691,0.10718,0.097966,0.21224,0.11348,0.045587,0.018924,0.11575,0.33312,-0.000201,58.52,0.019784,2.7372,0.18063,0.042556,-0.30642,0.12104,0.98999,1.0452,1.4744,8.8849,0.13846,2170.8
2317,risky_upgrade,1,3,BB,BBB,BB→BBB,0,-0.007529,0.12697,0.18794,0.42135,0.17088,0.056324,0.05156,0.07,0.5108,0.041573,314.0,0.018464,3.3932,0.1161,0.098666,-34.605,0.23337,0.98154,1.2676,1.0748,5.9622,0.10824,1408.1
2318,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.094364,-0.66793,0.56046,-0.48448,0.5513,-0.18039,-0.063192,-0.16024,-0.48448,-0.18039,-33512.0,-0.07097,4.7005,-0.36032,0.37233,-137.96,-0.10703,1.071,1.067,-1.2376,1.6937,-0.90724,-3410.3
2319,risky_upgrade,1,3,BB,BBB,BB→BBB,0,0.057348,-0.23907,0.43165,0.28632,0.36347,0.15668,0.12543,0.11055,0.44637,0.13025,-16672.0,0.076888,4.8435,0.15584,0.45493,-78.094,0.24125,0.92311,1.6721,0.38252,2.9804,3.3452,1294.9
2320,risky_upgrade,1,3,B,BB,B→BB,1,0.036503,0.017081,0.48986,0.17384,0.46308,0.016105,0.033923,0.098513,0.26568,0.015598,223.19,0.051038,4.1162,0.1928,0.089726,-121.37,0.067783,0.94896,0.98727,0.64931,2.2756,0.032534,5335.4
2321,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.46477,-0.55275,0.85216,0.14418,0.5522,-0.44552,-0.37488,-0.39471,0.25132,-0.37842,-18181.0,-0.35135,4.5171,-0.086556,-2.6246,-177.12,-0.36076,1.3513,2.085,0.17888,1.3401,-5.2402,-830.8
2323,risky_upgrade,1,3,B,BB,B→BB,1,-0.02941,0.22532,0.7002,0.21293,0.44292,0.020529,0.066587,0.017951,0.48394,0.020529,4237.0,0.010276,4.2743,0.35915,0.096411,-142.82,0.095098,0.98972,1.246,0.66357,2.2812,0.03385,3838.2
2324,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.19596,-0.29308,0.5,0.39225,0.46473,-0.21209,-0.14543,-0.20268,0.39225,-0.21209,-26909.0,-0.076343,4.9629,-0.11944,-0.54071,-170.83,-0.29075,1.0763,1.3453,0.57235,1.9992,-0.75803,-1255.4
2326,risky_upgrade,1,4,CCC,B,CCC→B,1,0.15234,-1.00064,2.0861,-1.1791,1.7374,0.24881,0.33987,0.21822,-0.7113339999999999,0.25487,-19892.0,-0.20118,4.08,0.22303,-0.21616,-647.94,0.16592,1.2012,1.4315,-1.7483,0.47918,0.96745,2241.2
2327,risky_upgrade,1,1,CCC,B,CCC→B,1,-0.43015,0.26481,0.23021,0.70348,0.18757,-0.38986,-0.38553,-0.33231,0.70449,-0.38986,4991.8,-0.36832,4.2753,-0.026442,-0.55418,12.308,-0.9360057,1.3683,0.9369,1.3849,3.8962,-1.8636,-244.07
2329,risky_upgrade,1,3,B,BB,B→BB,1,-0.020947,-0.11054,0.52797,0.006567,0.41102,0.006566,0.035924,0.006682,0.36293,0.006566,-2848.7,0.004305,4.4111,0.42601,0.041203,-43.778,0.066249,0.98366,1.0452,0.33659,2.4334,0.091232,5509.6
2330,risky_upgrade,1,4,CCC,B,CCC→B,1,0.25183,-1.00064,4.20196500000005,-1.86106,3.241538000000006,-1.034518,-0.5750552000000001,0.6873924000000006,-0.7113339999999999,-1.880592,-4171.5,0.64744,1.94594,7.4916,0.13983,-2978.4999999999995,-0.13953,0.74095,1.0452,1.2053,0.293002,-10.095080000000001,-2615.9
2331,risky_upgrade,1,3,BB,BBB,BB→BBB,0,0.089334,0.34091,0.6013,0.24931,0.58222,0.2185,0.12212,0.097076,0.34079,0.0,2985.0,0.07918,3.9423,0.22528,0.48903,-93.842,0.16789,0.83631,1.0753,1.2053,1.8602,0.19623,1815.8
2332,risky_upgrade,1,3,BB,BBB,BB→BBB,0,0.000306,-0.18226,0.12502,0.36702,0.34332,0.071592,0.090975,0.096811,0.36702,0.0383,-6321.8,0.049913,4.5402,0.10248,0.10435,-41.855,0.22358,0.95009,0.86184,0.63226,3.0657,4.6698,1308.7
2333,risky_upgrade,1,3,B,BB,B→BB,1,-0.030894,-0.18052,0.92452,0.11481,0.74028,-0.057133,-0.020892,0.009593,0.31897,-0.057133,-31287.0,0.015555,5.2388,0.60378,-0.49765,-127.23,-0.021965,0.98444,2.0856,0.22445,1.3722,-0.46091,-16617.0
2334,risky_upgrade,1,3,B,BB,B→BB,1,-0.009718,-0.006559,0.23626,0.11882,0.23852,0.02061,0.022089,0.023629,0.14691,0.017112,-31.05,0.003937,3.6752,0.35186,0.14402,-26.103,0.086012,0.99606,1.2528,0.75694,4.2091,0.073389,4055.7
2335,risky_upgrade,1,3,CCC,B,CCC→B,1,0.010951,-0.022791,0.13725,0.26351,0.08382,0.028389,0.008202,0.018138,0.56676,0.0,-105.0,0.10297,3.6634,0.44172,0.057064,-12.081,0.056521,0.89213,1.0452,0.67811,11.971,0.3135,6457.8
2336,risky_upgrade,1,0,BB,BBB,BB→BBB,0,0.22679,0.8898208000000005,-0.37585,0.28696,0.014425480000000001,0.4794,0.24263,0.48041,0.98073,-0.11116,171.41,0.23496,2.2727,0.001295,0.40594,211.72,9.224649999999944,0.7648,1.0452,14.88,57.91630000000018,53.541990000000055,14.214
2337,risky_upgrade,1,3,B,BB,B→BB,1,-0.034288,-0.089391,0.20462,0.30552,0.13915,-0.02951,0.016434,-0.070545,0.49207,0.0,-559.91,-0.026126,3.7968,0.34632,-0.077748,-25.65,0.071014,1.0107,1.0452,0.60754,6.9741,-0.36576,4716.0
2338,risky_upgrade,1,3,B,BB,B→BB,1,0.016931,0.046512,0.15205,0.01676,0.15869,0.088685,0.014948,0.11434,0.056856,-0.048837,58.0,0.018833,3.0959,0.29719,1.1537,-51.303,0.071361,0.98278,1.0452,5.4497,6.4116,0.073893,3808.4
2339,risky_upgrade,1,3,B,BB,B→BB,1,0.015625,0.030709,0.052693,0.54563,0.073987,0.20828,0.037156,0.014343,0.57773,0.0,126.0,0.002525,3.6131,0.068997,0.21111,-12.926,0.41053,0.9743,1.1631,1.0267,13.493,0.50768,755.78
2340,risky_upgrade,1,3,B,BB,B→BB,1,-0.000895,0.06648,0.10868,0.38653,0.086769,0.044381,0.017015,0.025731,0.52159,0.034752,4046.0,0.009679,4.7843,0.30218,0.089908,1.2611,0.12653,0.99032,0.9844,0.6905,11.638,0.75187,2509.5
