,group,is_risky,cluster,from_grade,to_grade,transition,high_risk_transition,Attr52,Attr49,Attr38,working_capital_to_assets,Attr30,Attr25,Attr13,Attr24,Attr35,retained_earnings_to_assets,Attr55,Attr41,Attr29,Attr56,Attr21,Attr12,cash_to_current_liabilities,Attr57,Attr63,Attr53,Attr58,Attr46
2277,risky_upgrade,1,1,CCC,B,CCC→B,1,0.18847,0.018328,0.33637,-0.010134,0.24693,0.15975,0.01197,0.031024,0.037434,-0.17629,-28.0,0.46552,3.4414,0.19746,1.0452,0.064306,-28.994,0.10315,5.3721,0.63789,0.79987,0.45488
2279,risky_upgrade,1,1,B,BB,B→BB,1,0.22588,-0.00315,0.2737,0.39722,0.37149,0.1814,0.080743,0.072949,0.059769,-0.13554,1258.0,0.1452,3.5006,0.029736,1.0452,0.16585,-72.458,0.2801,4.5628,1.5437,0.95927,1.7605
2280,risky_upgrade,1,1,B,BB,B→BB,1,0.25709,0.006808,0.39851,0.13068,0.25336,0.37047,0.02881,0.039905,0.03968,0.0,233.0,0.27617,3.2512,0.016837,1.0452,0.066371,-21.687,0.067427,3.9338,1.487,0.9757,0.45216
2281,risky_upgrade,1,1,CCC,B,CCC→B,1,0.26007,0.011289,0.39429,0.217,0.4265,0.071998,0.023004,0.018367,-0.000773,-0.002823,5612.0,0.43656,4.4127,-0.000474,1.0452,0.043111,-36.559,0.053437,3.827,0.72162,0.97748,1.0056
2282,risky_upgrade,1,1,CCC,B,CCC→B,1,0.20635,0.015113,0.34484,0.042307,0.28745,0.066411,0.019259,0.029063,0.080893,0.018169,5066.9,0.26713,5.0783,0.025501,1.2743,0.045179,-28.498,0.27359,4.9729,0.21123,0.9745,0.62529
2284,risky_upgrade,1,1,B,BB,B→BB,1,0.27887,0.035866,0.63254,0.10031,0.37711,0.36558,0.024883,0.031895,0.040151,0.1213,8322.0,0.35876,4.9189,0.074112,1.0452,0.090987,-38.624,0.058289,3.6566,0.91997,0.92156,0.70345
2285,risky_upgrade,1,1,CCC,B,CCC→B,1,0.33601,-0.000599,0.20619,-0.43695,0.38949,0.019747,0.016172,0.014975,0.023017,0.0,-2578.0,0.67981,3.7709,0.00969,1.0452,0.01889,-112.92,0.18026,3.0009,0.10961,0.99062,0.37651
2286,risky_upgrade,1,1,CCC,B,CCC→B,1,0.083258,0.01394,0.34135,-0.016243,0.32514,0.22217,0.003297,0.00659,-0.005636,0.0,-43.06,0.78787,3.4234,0.32346,1.0452,0.039492,-16.708,0.001647,11.979,0.40183,0.66397,0.51222
2287,risky_upgrade,1,1,BB,BBB,BB→BBB,0,0.23962,-0.009142,0.52765,0.10391,0.2435,0.5024,0.030685,0.007087,0.035242,0.007087,8197.0,0.18049,4.897,0.022297,1.0748,0.015395,-42.122,0.014106,4.2684,1.1529,0.9777,0.54191
2288,risky_upgrade,1,1,CCC,B,CCC→B,1,0.25394,0.008425,0.050528,0.028717,0.02857,0.050528,0.006797,0.020344,0.03727,0.013828,512.14,0.73187,4.2513,0.012134,1.2775,0.021427,-3.6251,0.27368,3.9863,2.3166,0.98787,0.96042
2289,risky_upgrade,1,1,CCC,B,CCC→B,1,0.11268,-0.15459,0.94607,0.26342,-0.4928,0.51941,-0.10231,-0.04241,-0.064084,0.0,30.87,-0.028051,2.0689,0.9867157000000019,1.0452,-0.78639,197.3,-0.044827,7.6867,1.3859,0.0475312,4.8085
2290,risky_upgrade,1,1,B,BB,B→BB,1,0.28016,-0.01367,0.39554,0.16557,0.18428,0.006944,0.026688,0.000608,0.031037,0.0,98.0,0.24264,2.7722,0.014331,1.0452,0.001036,-2.6326,-0.000854,3.6137,1.6001,0.98506,0.67077
2291,risky_upgrade,1,1,CCC,B,CCC→B,1,0.23937,-0.012673,-0.13379,-0.11587,0.26313,-0.16276,-0.004238,-0.039774,0.062312,-0.11746,-200.0,-2.2021499999999996,3.237,0.01503,1.0452,-0.039936,-29.393,0.33854,4.1414,-1.1135,1.007,0.27167
2292,risky_upgrade,1,1,CCC,B,CCC→B,1,0.23015,0.07657,0.31275,0.34322,0.13627,0.30129,0.08291,0.22442,0.035845,-0.008533,2996.0,0.09772,3.941,0.012721,1.0452,0.3502,20.226,0.38315,4.3985,19.718,0.91937,0.76511
2293,risky_upgrade,1,1,CCC,B,CCC→B,1,0.10615,0.22639,0.42002,0.39256,0.011402,0.42002,0.25446,1.1629,0.6873924000000006,0.8147872000000004,702.64,0.012379,3.2528,-0.026376,0.74012,2.0464,24.438,2.7113,9.1783,10.723,1.0264,1.6604
2294,risky_upgrade,1,1,A,AA,A→AA,0,0.061065,0.10182,0.72507,0.66637,0.094126,0.40687,0.12436,0.37817,0.49787,0.0,785.65,0.040876,3.0715,0.14476,1.0452,2.0326,65.843,0.61371,18.486,3.0413,0.88217,1.8563
2296,risky_upgrade,1,1,B,BB,B→BB,1,0.44707,-0.017064,0.30559,-0.004944,0.42846,0.30559,0.035083,0.00024,0.02564,0.00024,-34.42,0.27375,3.8428,0.01724,0.89122,0.00038,-75.571,0.000785,2.276,0.81734,0.98276,0.54714
2297,risky_upgrade,1,1,CCC,B,CCC→B,1,0.36694,-0.16581,0.22845,-0.039657,0.54238,0.18803,-0.18321,-0.24945,-0.35961,0.0,-162.0,-0.11393,3.6112,0.18015,1.0452,-0.38923,-77.255,-1.0919,2.1245,0.57324,0.74941,0.57464
2298,risky_upgrade,1,1,CCC,B,CCC→B,1,1.193,0.068106,0.093365,0.083558,1.1068,0.087732,0.014595,0.071652,0.066441,0.0,1241.0,0.4552,4.1718,0.080961,0.45087,0.007339,-171.77,0.065026,0.90532,9.3317,0.88167,0.48975
2299,risky_upgrade,1,1,B,BB,B→BB,1,0.38185,-0.009992,0.32488,-0.049739,0.50197,0.006466,0.02893,0.006466,0.031364,0.0,-229.0,0.41892,3.6631,0.017423,1.0452,0.009579,-21.646,0.07839,2.6593,0.22028,0.98471,0.10393
2300,risky_upgrade,1,1,CCC,B,CCC→B,1,0.18505,0.011405,0.46,-0.15858,0.22929,0.36156,0.003403,0.008757,-0.009399,0.0,-1582.0,0.67174,3.999,0.099529,1.0452,0.018246,-38.946,0.0219,5.3615,0.58922,0.88759,0.2571
2301,risky_upgrade,1,1,BBB,A,BBB→A,0,0.19466,0.036546,0.54355,0.033519,0.1828,0.54355,0.095615,0.14539,0.15379,0.11057,4982.0,0.0611,5.1721,0.051718,1.1451,0.34792,-12.782,0.20342,5.4172,0.9908,0.94828,0.828
2302,risky_upgrade,1,2,CCC,B,CCC→B,1,1.6777,-0.014646,-0.19216,-0.5735,1.7259,-0.19216,-0.099491,-0.059031,-0.00869,-0.050954,-8876.0,-2.2021499999999996,4.1897,-0.033867,0.6929,-0.05736,-425.5,0.26517,0.57653,-0.353,1.0339,0.29596
2304,risky_upgrade,1,1,CCC,B,CCC→B,1,0.18922,0.017542,0.20101,0.007627,0.18283,0.19218,0.010527,0.026783,0.092478,0.021599,56.0,0.23771,3.8658,0.01792,1.1508,0.033921,-19.869,0.11239,5.3812,0.94762,0.98208,0.70968
2305,risky_upgrade,1,1,BB,BBB,BB→BBB,0,0.17165,0.059049,0.54329,-0.04419,0.17848,0.48037,0.077577,0.19461,0.19569,0.19461,-7038.7,0.076665,5.2022,0.06928,1.0774,0.42643,-32.345,0.40513,6.2595,0.81723,0.93072,0.536
2306,risky_upgrade,1,1,B,BB,B→BB,1,0.17061,0.084515,0.44818,0.44818,0.14155,0.44818,0.084426,0.29827,0.29859,0.19922,510.07,0.060758,3.0562,0.084528,1.0784,0.54053,49.559,0.44452,6.4025,1.2053,0.91547,1.8069
2307,risky_upgrade,1,1,CCC,B,CCC→B,1,0.16307,-0.04871,0.34455,-0.085002,0.16666,0.34455,-0.012222,-0.12273,-0.11364,-0.11865,-730.0,-0.55857,3.9339,-0.029356,1.0452,-0.18848,-43.699,-0.34437,5.9576,0.79415,1.0294,0.27235
2308,risky_upgrade,1,1,CCC,B,CCC→B,1,0.28878,0.058367,0.090913,0.26468,0.21053,0.085157,0.052194,0.1324,0.20055,0.0,2299.0,0.1778,3.9388,0.074999,1.0452,0.1826,37.809,0.88424,3.688,8.9349,0.93881,0.47968
2310,risky_upgrade,1,1,B,BB,B→BB,1,0.25538,0.026751,0.42606,0.040778,0.33249,0.20998,0.048536,0.067648,0.08818,0.0,281.0,0.18385,3.8383,0.040372,1.0452,0.12555,-0.6885,0.21441,4.056,0.60325,0.95488,0.11958
2312,risky_upgrade,1,2,CCC,B,CCC→B,1,3.241538000000006,-0.8681929,0.17518,-0.25542,4.20196500000005,0.17518,-0.5750552000000001,-0.23884,-0.15191,-0.20909,-23645.0,-0.16078,4.9665,-0.6627794,0.69492,-0.34752,-937.44,-1.1936,0.293002,0.30834,1.6584000000000014,0.55427
2314,risky_upgrade,1,1,CCC,B,CCC→B,1,0.97109,0.023032,0.16429,-0.032645,0.96385,0.075112,0.019801,0.007222,0.031198,0.0,-452.0,0.69909,4.1413,0.035031,1.0452,0.008642,-304.7,0.038337,1.0659,0.67449,0.9653,0.83224
2315,risky_upgrade,1,1,B,BB,B→BB,1,0.2684,0.023923,0.19009,0.026796,0.29685,0.1004,0.017347,0.080096,0.12803,0.0,370.09,0.3312,4.1402,0.042514,1.1255,0.054874,-61.716,0.1941,3.8275,0.55798,0.98567,0.37783
2316,risky_upgrade,1,1,B,BB,B→BB,1,0.35093,0.021462,0.2493,-0.071896,0.33404,0.24694,0.011457,0.024111,0.045168,0.024111,-1891.0,0.52979,4.42,0.017686,2.7253499999999997,0.033234,-37.345,0.09764,2.9008,0.71295,0.98231,0.71072
2317,risky_upgrade,1,1,CCC,B,CCC→B,1,0.074581,-0.19162,0.92345,0.48386,-0.4134,-0.51888,-0.11497,-0.1373,-0.13481,-0.37964,250.7,-0.025306,2.7144,-0.15135,1.0452,-1.7937,175.7,-0.15078,11.635,2.1008,1.1198,5.8099
2318,risky_upgrade,1,1,B,BB,B→BB,1,0.48805,-0.002535,0.21398,0.03453,0.46237,0.074672,0.038997,0.026166,0.030524,0.026854,5974.0,0.44822,5.2381,0.015915,1.7466,0.035041,-67.885,0.35963,2.0821,0.34138,0.98409,0.65164
2320,risky_upgrade,1,1,CCC,B,CCC→B,1,0.52431,0.039766,0.11314,-0.12931,0.62569,0.071814,0.020794,0.099955,-0.13183,0.0,-769.0,0.53628,3.7743,0.019537,1.3126,0.036169,-51.683,0.26853,1.7395,0.32944,0.80005,0.13698
2321,risky_upgrade,1,1,B,BB,B→BB,1,0.2484,-0.12588,0.51287,0.26986,0.27046,0.51287,-0.078383,-0.15983,-0.15219,-0.15983,7131.7,-0.12489,4.4221,-0.12224,1.1284,-0.37535,-47.554,-0.31164,3.5873,1.6853,1.1222,0.53857
2322,risky_upgrade,1,1,BB,BBB,BB→BBB,0,0.18645,0.078054,0.52408,0.31911,0.17277,0.51035,0.091599,0.21317,0.23457,0.14628,12979.0,0.057398,4.6093,0.09428,1.4141,0.47831,-17.204,0.28662,5.9216,2.1698,0.90572,0.74801
2323,risky_upgrade,1,1,B,BB,B→BB,1,0.41513,0.001087,0.41379,0.084962,0.37175,0.41379,0.02518,0.0033,0.032121,0.008618,2055.4,0.28393,4.3837,0.031546,0.91313,0.006087,-74.652,0.020826,2.4873,1.1097,0.96845,0.53027
2325,risky_upgrade,1,1,B,BB,B→BB,1,0.4062,-0.020363,0.35722,0.019355,0.42871,0.27707,0.044336,0.016878,0.011596,0.016878,668.94,0.378,4.5386,0.037083,1.0744,0.03633,-91.507,0.060916,2.5566,0.53689,0.96292,0.39484
2326,risky_upgrade,1,1,BB,BBB,BB→BBB,0,0.31142,0.065726,0.32606,0.27777,0.34555,0.22493,0.043626,0.2261,0.13413,-0.002031,7306.0,0.17534,4.42,0.064467,1.6276,0.14131,-13.051,0.30288,3.4318,1.9593,0.91419,0.66316
2328,risky_upgrade,1,1,CCC,B,CCC→B,1,0.076986,-0.011736,0.41888,0.080968,0.072038,0.3771,-0.006864,-0.090132,-0.061778,0.0,49.83,-0.47609,2.7892,-0.008317,1.0506,-0.12764,-22.027,-0.17708,12.775,1.2396,1.0085,1.0113
2329,risky_upgrade,1,1,B,BB,B→BB,1,0.15861,-0.000562,0.39381,0.32198,0.23396,0.088981,0.002528,0.079759,0.000641,0.0,2873.0,1.3852,3.9505,0.000183,1.0301,-0.003991,-8.5706,-0.076107,6.2832,1.2822,0.99287,0.73539
2330,risky_upgrade,1,1,BB,BBB,BB→BBB,0,0.090518,0.094236,0.74165,0.3851,0.075654,0.574,0.086191,0.49625,0.28022,0.0,1902.0,0.029764,3.6936,0.18847,1.0175,1.0439,-2.0877,0.29156,12.112,2.0521,0.8098,1.6861
2332,risky_upgrade,1,1,CCC,B,CCC→B,1,1.0582,0.022754,0.18934,-0.011046,1.0209,0.18934,0.025455,0.014275,0.023801,0.011514,-517.0,0.89596,4.6703,0.033841,1.2334,0.017677,-251.79,0.06081,0.97809,0.9303,0.96616,0.34446
2333,risky_upgrade,1,1,CCC,B,CCC→B,1,0.25258,-0.054213,0.34548,-0.27738,0.41543,-0.49752,-0.022488,-0.11342,-0.094894,-0.94625,-3189.0,-1.7084,4.0606,-0.038082,1.0452,-0.17331,-49.219,2.1378,3.8111,-0.085169,1.031,0.13131
2335,risky_upgrade,1,2,CCC,B,CCC→B,1,0.98051,-0.21463,-0.61242,-1.00064,1.0625,-0.61242,-0.087655,-0.24513,-0.19886,-0.24513,-40775.49,-0.63331,5.021,-0.10313,0.92724,-0.1543,-353.25,0.40027,0.92454,-0.88041,1.1031,0.096462
2337,risky_upgrade,1,2,CCC,B,CCC→B,1,0.041066,-0.010011,-0.7113339999999999,-1.00064,0.037806,-1.3727,-0.028296,-1.034518,-0.4666,0.0,-138.98,-0.14684,2.1167,-0.009713,1.0452,-0.68963,-7.8927,1.3859,24.117,-4.8142759999999996,1.0073,0.088249
2338,risky_upgrade,1,1,BBB,A,BBB→A,0,0.17156,0.07261,0.56678,0.25592,0.20505,0.35722,0.078593,0.21886,0.23821,0.001042,1243.0,0.075639,3.6864,0.091738,1.208,0.43864,8.9011,0.30556,6.3155,1.3954,0.91452,0.48723
2340,risky_upgrade,1,1,B,BB,B→BB,1,0.56654,-0.002769,0.4392,-0.21231,0.78453,0.19389,0.047152,0.010335,0.033993,0.003625,-7064.0,0.36717,4.5221,0.037075,0.83583,0.018968,-166.44,0.018698,1.8331,0.29048,0.96293,0.22286
2341,risky_upgrade,1,1,B,BB,B→BB,1,0.23891,-0.029713,0.49282,0.30547,0.44236,0.12017,0.000749,-0.046645,-0.02776,0.0,1027.0,1.2636,3.5266,-0.018826,1.147,-0.080984,6.3828,-0.085615,4.0492,1.0359,1.0043,0.78689
2342,risky_upgrade,1,2,CCC,B,CCC→B,1,0.7418,-0.57451,0.29079,-0.56199,1.0279,0.29079,-0.42711,-0.37449,-0.30151,-0.37449,-40775.49,-0.10623,5.0371,-0.38944,0.56186,-0.53836,-263.48,-1.2879,0.97023,0.33564,1.3894,0.10771
2343,risky_upgrade,1,1,B,BB,B→BB,1,0.231,0.022632,0.39346,0.13287,0.24169,0.084299,0.042836,0.076314,0.076939,0.0,1365.0,0.17879,4.0117,0.028691,1.0452,0.12655,0.96317,0.23889,4.4504,0.98304,0.96295,0.3611
2345,risky_upgrade,1,2,CCC,B,CCC→B,1,0.30039,-0.59597,0.86684,-0.005038,2.6335,-0.36106,-0.5750552000000001,-0.47916,-0.11464,-0.12635,-102.0,-0.42224,4.3063,-0.37768,1.0452,-2.09503,-25.824,-2.9482139999999997,2.3466,0.15456,1.3875,0.67054
2347,risky_upgrade,1,1,BB,BBB,BB→BBB,0,0.36347,0.057348,0.44637,-0.23907,0.43165,0.28632,0.12543,0.15668,0.11055,0.13025,-16672.0,0.15584,4.8435,0.076888,1.6721,0.31939,-78.094,0.45493,2.9804,0.38252,0.92311,0.43329
2348,risky_upgrade,1,1,B,BB,B→BB,1,0.46308,0.036503,0.26568,0.017081,0.48986,0.17384,0.033923,0.016105,0.098513,0.015598,223.19,0.1928,4.1162,0.051038,0.98727,0.022519,-121.37,0.089726,2.2756,0.64931,0.94896,0.35353
2349,risky_upgrade,1,2,CCC,B,CCC→B,1,0.5522,-0.46477,0.25132,-0.55275,0.85216,0.14418,-0.37488,-0.44552,-0.39471,-0.37842,-18181.0,-0.086556,4.5171,-0.35135,2.085,-0.59663,-177.12,-2.6246,1.3401,0.17888,1.3513,0.16306
2350,risky_upgrade,1,1,B,BB,B→BB,1,0.32721,0.00376,0.21856,0.084571,0.30856,0.21856,0.019639,0.008135,0.04868,0.008135,1162.0,0.29118,4.138,0.016455,1.2337,0.01041,-70.164,0.037219,3.1073,1.6312,0.98354,0.41594
2352,risky_upgrade,1,1,CCC,B,CCC→B,1,0.46473,-0.19596,0.39225,-0.29308,0.5,0.39225,-0.14543,-0.21209,-0.20268,-0.21209,-26909.0,-0.11944,4.9629,-0.076343,1.3453,-0.34899,-170.83,-0.54071,1.9992,0.57235,1.0763,0.07834487
2353,risky_upgrade,1,1,CCC,B,CCC→B,1,0.18757,-0.43015,0.70449,0.26481,0.23021,0.70348,-0.38553,-0.38986,-0.33231,-0.38986,4991.8,-0.026442,4.2753,-0.36832,0.9369,-1.7156,12.308,-0.55418,3.8962,1.3849,1.3683,1.2448
2354,risky_upgrade,1,1,CCC,B,CCC→B,1,0.24836,-0.086133,0.45436,0.14399,0.50628,0.061743,-0.082855,-0.18611,-0.065551,-0.18616,2950.0,-2.2021499999999996,4.3115,-0.030382,1.3508,-0.48835,-17.373,-2.9482139999999997,3.9077,0.13001,1.0304,0.81429
2355,risky_upgrade,1,1,CCC,B,CCC→B,1,0.031948,0.009013,0.4733,-0.08724,0.03293,0.43773,0.038123,0.30105,0.31105,0.30105,-293.09,0.028721,3.5263,0.022235,1.1768,0.74214,-5.7555,0.68775,32.013,0.64223,0.97776,0.5319
2356,risky_upgrade,1,1,B,BB,B→BB,1,0.18904,0.034501,0.42364,0.11143,0.2432,0.21716,0.052207,0.11926,0.046992,0.0,313.0,0.15777,3.4486,0.017185,1.0452,0.22635,-5.2866,0.27527,5.1899,0.91535,0.95162,0.29595
2357,risky_upgrade,1,2,CCC,B,CCC→B,1,3.241538000000006,0.25183,-0.7113339999999999,-1.00064,4.20196500000005,-1.86106,-0.5750552000000001,-1.034518,0.6873924000000006,-1.880592,-4171.5,7.4916,1.94594,0.64744,1.0452,-0.13953,-2978.4999999999995,0.13983,0.293002,1.2053,0.74095,0.07834487
2358,risky_upgrade,1,1,BB,BBB,BB→BBB,0,0.58222,0.089334,0.34079,0.34091,0.6013,0.24931,0.12212,0.2185,0.097076,0.0,2985.0,0.22528,3.9423,0.07918,1.0753,0.22665,-93.842,0.48903,1.8602,1.2053,0.83631,0.97643
2360,risky_upgrade,1,1,CCC,B,CCC→B,1,0.31683,0.009521,0.091937,-0.20862,0.426,-0.1553,0.020886,-0.014404,0.076063,-0.035472,-6440.0,0.21699,4.4895,0.020401,1.331,-0.022886,-92.767,0.22841,3.2219,-0.26811,0.9796,0.21356
2361,risky_upgrade,1,1,CCC,B,CCC→B,1,0.08382,0.010951,0.56676,-0.022791,0.13725,0.26351,0.008202,0.028389,0.018138,0.0,-105.0,0.44172,3.6634,0.10297,1.0452,0.098191,-12.081,0.057064,11.971,0.67811,0.89213,0.41562
2362,risky_upgrade,1,1,B,BB,B→BB,1,0.13915,-0.034288,0.49207,-0.089391,0.20462,0.30552,0.016434,-0.02951,-0.070545,0.0,-559.91,0.34632,3.7968,-0.026126,1.0452,-0.076218,-25.65,-0.077748,6.9741,0.60754,1.0107,0.5349
2363,risky_upgrade,1,1,B,BB,B→BB,1,0.21255,-0.020939,0.67244,-0.077954,0.23935,-0.32109,0.021293,-0.004049,0.011832,-0.31215,-698.0,0.30305,3.952,0.007981,1.0452,-0.012751,-51.608,-0.013927,4.6718,0.83446,0.99694,0.44591
2365,risky_upgrade,1,1,CCC,B,CCC→B,1,0.086769,-0.000895,0.52159,0.06648,0.10868,0.38653,0.017015,0.044381,0.025731,0.034752,4046.0,0.30218,4.7843,0.009679,0.9844,0.11875,1.2611,0.089908,11.638,0.6905,0.99032,1.0542
2366,risky_upgrade,1,1,BBB,A,BBB→A,0,0.12896,-0.007707,0.68213,0.28421,0.12369,0.66519,0.049384,0.048285,0.049024,0.038241,3378.0,0.088573,4.075,0.017958,0.97364,0.1633,16.151,0.057488,7.8962,1.5834,0.98204,1.351
2367,risky_upgrade,1,2,CCC,B,CCC→B,1,1.6226,-0.30932,-0.7113339999999999,-1.00064,1.9423,-1.599,-0.41129,-0.54942,-0.3596,-0.54942,-32149.0,-0.24883,4.2244,-0.21624,1.5479,-0.22069,-538.93,0.3436,0.50671,-3.7339,1.2162,0.09694
2368,risky_upgrade,1,1,CCC,B,CCC→B,1,0.2398,0.047317,0.2007,-0.13975,0.22752,0.17309,0.058425,0.14865,0.21691,0.10956,-2674.8,0.097338,4.282,0.068154,1.1551,0.19243,-42.891,0.63293,4.4752,0.47135,0.93185,0.52402
2369,risky_upgrade,1,1,B,BB,B→BB,1,0.26192,-0.0158,0.31381,-0.007875,0.2809,0.028654,0.028261,-0.003554,0.020863,-0.13157,-12.23,0.2315,3.1912,0.009228,1.0452,-0.005936,-39.895,-0.011884,3.8455,0.7307,0.98398,0.48704
2370,risky_upgrade,1,1,CCC,B,CCC→B,1,0.29221,-0.1869,0.21053,-0.070175,0.25434,-0.44737,-0.20231,-0.46053,-0.39474,0.013158,-16.0,-0.061856,2.3579,0.069364,1.0452,-0.58333,-39.74,-2.1875,2.8833,0.75,0.94412,0.55556
2371,risky_upgrade,1,1,BBB,A,BBB→A,0,0.50599,0.16168,0.38784,0.37312,0.42928,0.33946,0.21069,0.20117,0.20938,0.0,4455.0,0.089889,4.077,0.19029,1.0452,0.44539,4.6874,0.45708,2.437,2.0225,0.81027,1.1847
