feature,coef,se,p_value,OR_mle,OR_ci_low,OR_ci_high,direction,converged,n_iter,rank_biserial,OR_mle_standard,OR_diff_firth_vs_mle,fdr_q,sig_fdr
Attr13,-0.32685889266164553,0.026343094441343848,0.0,0.7211855004135044,0.6848945398416164,0.7593994341478515,risk-reducing,True,6,0.2701726752789959,0.7216071008324157,0.000421600418911372,0.0,True
Attr24,-0.2961296048372711,0.029953522929703692,0.0,0.7436910358181895,0.7012874415474116,0.788658578479535,risk-reducing,True,6,0.2676697680147735,0.7440360252985896,0.0003449894804000708,0.0,True
net_profit_to_assets,-0.3304748394970682,0.027693382668859155,0.0,0.7185824410838692,0.6806188152954429,0.7586636058685954,risk-reducing,True,6,0.24028740497571544,0.7183873476962261,0.00019509338764300832,0.0,True
Attr39,-0.33212720142992036,0.02330278304098529,0.0,0.7173960632453259,0.6853676859419134,0.7509211801437485,risk-reducing,True,6,0.2634652384819376,0.7181342908746917,0.0007382276293658174,0.0,True
Attr19,-0.2912201119457721,0.02452289019167512,0.0,0.7473511589946727,0.7122800661927088,0.7841490747258512,risk-reducing,True,6,0.24900608228911725,0.7480704884044643,0.0007193294097915803,0.0,True
Attr35,-0.4218516827707384,0.02834191536749075,0.0,0.6558313032620725,0.6203938155956663,0.693293014092117,risk-reducing,True,6,0.2672271481203792,0.6561385800842864,0.00030727682221387553,0.0,True
Attr14,-0.34215011684132474,0.02862613933281759,0.0,0.7102415774839169,0.6714898900182883,0.7512296251744076,risk-reducing,True,6,0.24492832369517392,0.7102166474456678,2.493003824910467e-05,0.0,True
Attr18,-0.34213255604781545,0.028630878290053244,0.0,0.7102540499991142,0.6714954450139036,0.7512497951936207,risk-reducing,True,6,0.24492752488648528,0.7102305586316173,2.349136749690839e-05,0.0,True
ebit_to_assets,-0.3421501039593906,0.028626139502396925,0.0,0.7102415866332022,0.6714898984451941,0.7512296351013839,risk-reducing,True,6,0.24492832369517392,0.7102166567292316,2.4929903970627443e-05,0.0,True
Attr32,0.24754004939345262,0.022900734971320873,0.0,1.2808706594495092,1.2246504221899472,1.3396718087965134,risk-increasing,True,6,-0.1658147105732395,1.2802693029170795,0.0006013565324296533,0.0,True
retained_earnings_to_assets,-0.20189468284492038,0.0251763912675057,1.1102230246251565e-15,0.8171809865871238,0.7778360551872987,0.8585160849591962,risk-reducing,True,6,0.16910955677141337,0.8175590453022308,0.0003780587151069881,2.3438041630975527e-15,True
Attr55,-0.24727066758562802,0.04278135076421285,7.475814411961323e-09,0.7809292926767926,0.7181185771802348,0.8492337888755301,risk-reducing,True,7,0.20631287323337466,0.7804501878601751,0.0004791048166175038,1.521862219577841e-08,True
Attr41,-0.22488650798556456,0.04119685071242586,4.7928871094171654e-08,0.798606849116417,0.7366585055355144,0.8657646584722757,risk-reducing,True,7,0.16096218743215118,0.7976494729848579,0.0009573761315591067,9.420502249544084e-08,True
Attr29,-0.16988058888570542,0.03158006301857915,7.475029528691834e-08,0.8437655655673784,0.7931234656867836,0.8976412380142511,risk-reducing,True,6,0.08340369506532741,0.8437693235874696,3.7580200912268324e-06,1.4202556104514487e-07,True
Attr56,-0.15120906284143332,0.029981147913169696,4.571610612291721e-07,0.859667955245613,0.8106077265313437,0.91169744512372,risk-reducing,True,6,0.11844926949744228,0.8600392530372927,0.00037129779167965893,8.40586467421381e-07,True
Attr16,-0.23818327168026204,0.05968853827636944,6.595203866832655e-05,0.7880582490986545,0.7010537932678736,0.8858604146160555,risk-reducing,True,8,0.28098239409673986,0.7853114440388278,0.002746805059826718,0.00011747706887795667,True
Attr21,-0.130909659605999,0.034369358477952354,0.00013958294210891786,0.8772970261701712,0.8201464440252137,0.9384300544542321,risk-reducing,True,6,0.0832734093682046,0.8769205215272339,0.00037650464293736974,0.00024109780909722174,True
Attr12,-0.16817412262267817,0.04425795785136278,0.0001447768132405436,0.8452066522721381,0.774979946040279,0.9217971235193045,risk-reducing,True,7,0.24354590537855458,0.8430413941556533,0.002165258116484825,0.00024271406925620545,True
Attr26,-0.20715514504010532,0.05601969599649088,0.00021739184886615526,0.812893523805546,0.7283659113211918,0.907230652580064,risk-reducing,True,8,0.2793789454159644,0.8092332652747606,0.003660258530785443,0.0003540381538677385,True
cash_to_current_liabilities,-0.11287973617587266,0.030906880166902934,0.0002599499029733998,0.8932580802891739,0.8407540525796839,0.9490409181539768,risk-reducing,True,6,0.15284053973266432,0.8935904614783471,0.00033238118917322534,0.00041158734637454974,True
Attr57,-0.1092855889956598,0.030428189387693406,0.00032866629124739255,0.8964743577245917,0.84457330445036,0.9515648550847072,risk-reducing,True,6,0.10990808747466374,0.8968231416253098,0.00034878390071813037,0.0005063237459757129,True
Attr63,-0.1351469358525269,0.03964548029224064,0.0006522865268514533,0.8735875409270488,0.8082768448542457,0.9441754969494218,risk-reducing,True,7,0.1775871536225735,0.8713915542497581,0.0021959866772907066,0.00097842979027718,True
Attr53,-0.13488022382010312,0.04436443213332272,0.002363595712830735,0.8738205683098116,0.8010491980639808,0.9532028587591139,risk-reducing,True,7,0.1706304885146488,0.8697058840027645,0.0041146843070470895,0.0034544860418295356,True
Attr54,-0.12686741543082994,0.04346877561598312,0.00351621429119775,0.8808504520330963,0.8089123996163775,0.9591860864228012,risk-reducing,True,7,0.19335947141870502,0.8768078704393651,0.004042581593731165,0.005010605364956794,True
Attr28,-0.12368355436452161,0.042726846940297526,0.003794602105271938,0.8836594268124083,0.8126728608913307,0.9608466335863632,risk-reducing,True,7,0.18302304674900038,0.8798390463906072,0.003820380421801106,0.005275422439036597,True
Attr58,0.07415781193557393,0.03128991522691051,0.017786989220623273,1.076976751871865,1.0129133716859466,1.145091926412136,risk-increasing,True,6,-0.05702223931317785,1.0767368987992938,0.00023985307257112787,0.02413948537084587,True
Attr46,-0.08754738924876448,0.039865943093848145,0.028088750916158034,0.916175453755625,0.8473146193177054,0.9906325736952689,risk-reducing,True,6,0.289990080393704,0.9123793365045907,0.0037961172510343477,0.03723392563304669,True
Attr33,-0.07428542608840599,0.03561455354954567,0.03699524145911193,0.9284066645372387,0.8658109746068643,0.9955278461889889,risk-reducing,True,6,0.12643879423982252,0.9269508380179867,0.0014558265192520237,0.047925653708395,True
Attr50,-0.06775905930348164,0.03743117740351539,0.07026004834399924,0.9344856020666652,0.8683826513342804,1.005620436023357,risk-reducing,True,6,0.1809745018668958,0.9320207683964766,0.002464833670188571,0.08899606123573237,False
Attr15,-0.05762997618646981,0.03241501368395103,0.07542370928808495,0.9439991849981091,0.8858902250322332,1.0059197359861038,risk-reducing,True,6,0.1332245142883709,0.9436589226498479,0.00034026234826123325,0.09176254271932609,False
Attr45,-0.06931148116933256,0.03901752564581681,0.07566385101418116,0.9330360116637408,0.8643440130246907,1.0071871684688956,risk-reducing,True,6,0.1973991268381986,0.9301742737025249,0.0028617379612159155,0.09176254271932609,False
current_assets_to_short_liabilities,-0.06333736808452482,0.03685490649633207,0.0856945205338897,0.9386267575558992,0.873216588194251,1.0089366165406766,risk-reducing,True,6,0.19132889973209555,0.9361682514221473,0.00245850613375187,0.10176224313399403,False
sales_to_assets,-0.043777141991382586,0.03286159805467253,0.1828052628886827,0.9571672460920033,0.8974618283119065,1.0208446845194865,risk-reducing,True,6,0.08648805517403568,0.9563147032406689,0.0008525428513344036,0.21265102009499826,False
Attr47,-0.032335088942414915,0.032733365279671384,0.3232345848279956,0.9681821006010006,0.9080177918872211,1.0323328334524435,risk-reducing,True,6,0.05050372077099097,0.9671254122224267,0.0010566883785739778,0.368487426703915,False
book_value_equity_to_liabilities,-0.029190107396549227,0.034090841973270974,0.3918623670784034,0.9712318085643625,0.9084577205558897,1.0383435625270465,risk-reducing,True,6,0.17390664258950772,0.968411260333877,0.002820548230485498,0.4379638220288038,False
Attr17,-0.028040629387559118,0.03397180848804587,0.40913954539093034,0.972348860060007,0.9097147860567439,1.0392953045846407,risk-reducing,True,6,0.17408477692708202,0.969557695000705,0.002791165059301992,0.44361223221807305,False
Attr34,-0.027022198711854677,0.03297262045460877,0.41248154925540126,0.9733396343984317,0.9124268626312647,1.0383188863584978,risk-reducing,True,6,0.037664868122277206,0.9717506213274084,0.0015890130710233263,0.44361223221807305,False
Attr36,-0.01686366926311509,0.03200352767290536,0.5982411056353407,0.9832777264747035,0.9234954272665339,1.0469300213461907,risk-reducing,True,6,0.03803056273995209,0.9825932138696124,0.0006845126050910588,0.6314767226150819,False
Attr40,-0.005610553452837427,0.03209831020316349,0.8612424475495912,0.9944051563083032,0.933772837114576,1.0589744909994718,risk-reducing,True,6,0.17789477484858185,0.9917336095697785,0.002671546738524655,0.880913593374507,False
Attr59,0.005324684109941385,0.03142717183073221,0.8654589689293402,1.0053388854350451,0.9452825128080141,1.0692108029856804,risk-increasing,True,6,0.05287122996248317,1.004105848031117,0.0012330374039282166,0.880913593374507,False
Attr64,-0.0010769172796547951,0.03170876353241621,0.9729068429023722,0.9989236623876555,0.9387322804220307,1.06297450731039,risk-reducing,True,6,0.07733714247919221,0.9967475796443577,0.002176082743297836,0.9729068429023722,False
