,group,is_risky,default,from_grade,to_grade,transition,year_horizon,l1_count,l2_count,total_warnings,any_warning
113,safe_upgrade,0,0,B,BB,B→BB,1,7,0,7,1
114,safe_upgrade,0,0,B,BB,B→BB,1,35,12,47,1
115,safe_upgrade,0,0,CCC,B,CCC→B,1,40,15,55,1
116,safe_upgrade,0,0,BBB,A,BBB→A,1,7,0,7,1
117,safe_upgrade,0,0,BBB,A,BBB→A,1,0,0,0,0
118,safe_upgrade,0,0,CCC,B,CCC→B,1,4,0,4,1
119,safe_upgrade,0,0,BB,BBB,BB→BBB,1,9,2,11,1
120,safe_upgrade,0,0,B,BB,B→BB,1,8,0,8,1
121,safe_upgrade,0,0,BBB,A,BBB→A,1,3,0,3,1
122,safe_upgrade,0,0,CCC,B,CCC→B,1,22,6,28,1
123,safe_upgrade,0,0,CCC,B,CCC→B,1,41,10,51,1
124,safe_upgrade,0,0,CCC,B,CCC→B,1,26,1,27,1
125,safe_upgrade,0,0,A,AA,A→AA,1,0,0,0,0
127,safe_upgrade,0,0,BB,BBB,BB→BBB,1,5,2,7,1
128,safe_upgrade,0,0,A,AA,A→AA,1,3,0,3,1
129,safe_upgrade,0,0,B,BB,B→BB,1,0,0,0,0
130,safe_upgrade,0,0,CCC,B,CCC→B,1,16,1,17,1
131,safe_upgrade,0,0,BB,BBB,BB→BBB,1,2,0,2,1
132,safe_upgrade,0,0,BB,BBB,BB→BBB,1,1,0,1,1
133,safe_upgrade,0,0,A,AA,A→AA,1,3,0,3,1
134,safe_upgrade,0,0,CCC,B,CCC→B,1,13,2,15,1
135,safe_upgrade,0,0,CCC,B,CCC→B,1,14,0,14,1
136,safe_upgrade,0,0,B,BB,B→BB,1,3,0,3,1
140,safe_upgrade,0,0,BBB,A,BBB→A,1,9,2,11,1
141,safe_upgrade,0,0,BB,BBB,BB→BBB,1,3,0,3,1
142,safe_upgrade,0,0,A,AA,A→AA,1,15,5,20,1
143,safe_upgrade,0,0,BB,BBB,BB→BBB,1,0,0,0,0
144,safe_upgrade,0,0,CCC,B,CCC→B,1,3,0,3,1
145,safe_upgrade,0,0,B,BB,B→BB,1,10,0,10,1
146,safe_upgrade,0,0,B,BB,B→BB,1,31,0,31,1
147,safe_upgrade,0,0,CCC,B,CCC→B,1,18,9,27,1
148,safe_upgrade,0,0,CCC,B,CCC→B,1,14,9,23,1
149,safe_upgrade,0,0,BB,BBB,BB→BBB,1,11,6,17,1
150,safe_upgrade,0,0,BBB,A,BBB→A,1,7,0,7,1
151,safe_upgrade,0,0,B,BB,B→BB,1,12,3,15,1
153,safe_upgrade,0,0,BB,BBB,BB→BBB,1,2,0,2,1
154,safe_upgrade,0,0,BB,BBB,BB→BBB,1,1,0,1,1
155,safe_upgrade,0,0,CCC,B,CCC→B,1,27,16,43,1
156,safe_upgrade,0,0,B,BB,B→BB,1,11,6,17,1
157,safe_upgrade,0,0,BB,BBB,BB→BBB,1,7,0,7,1
158,safe_upgrade,0,0,A,AA,A→AA,1,1,0,1,1
159,safe_upgrade,0,0,BB,BBB,BB→BBB,1,1,0,1,1
160,safe_upgrade,0,0,B,BB,B→BB,1,7,0,7,1
161,safe_upgrade,0,0,BBB,A,BBB→A,1,2,0,2,1
162,safe_upgrade,0,0,A,AA,A→AA,1,1,0,1,1
164,safe_upgrade,0,0,B,BB,B→BB,1,2,0,2,1
165,safe_upgrade,0,0,B,BB,B→BB,1,2,0,2,1
166,safe_upgrade,0,0,B,BB,B→BB,1,3,0,3,1
167,safe_upgrade,0,0,BB,BBB,BB→BBB,1,3,0,3,1
168,safe_upgrade,0,0,CCC,B,CCC→B,1,17,7,24,1
169,safe_upgrade,0,0,BBB,A,BBB→A,1,2,0,2,1
170,safe_upgrade,0,0,BBB,A,BBB→A,1,3,0,3,1
171,safe_upgrade,0,0,BBB,A,BBB→A,1,10,5,15,1
172,safe_upgrade,0,0,BBB,A,BBB→A,1,21,1,22,1
173,safe_upgrade,0,0,BB,BBB,BB→BBB,1,34,10,44,1
174,safe_upgrade,0,0,A,AA,A→AA,1,1,0,1,1
175,safe_upgrade,0,0,BBB,A,BBB→A,1,0,0,0,0
176,safe_upgrade,0,0,BB,BBB,BB→BBB,1,10,5,15,1
177,safe_upgrade,0,0,BB,BBB,BB→BBB,1,0,0,0,0
178,safe_upgrade,0,0,CCC,B,CCC→B,1,31,7,38,1
179,safe_upgrade,0,0,B,BB,B→BB,1,3,0,3,1
180,safe_upgrade,0,0,A,AA,A→AA,1,1,0,1,1
181,safe_upgrade,0,0,BBB,A,BBB→A,1,1,0,1,1
183,safe_upgrade,0,0,BBB,A,BBB→A,1,3,0,3,1
184,safe_upgrade,0,0,BB,BBB,BB→BBB,1,0,0,0,0
186,safe_upgrade,0,0,A,AA,A→AA,1,0,0,0,0
187,safe_upgrade,0,0,A,AA,A→AA,1,4,0,4,1
188,safe_upgrade,0,0,A,AA,A→AA,1,3,0,3,1
190,safe_upgrade,0,0,BBB,A,BBB→A,1,3,0,3,1
191,safe_upgrade,0,0,CCC,B,CCC→B,1,21,15,36,1
192,safe_upgrade,0,0,B,BB,B→BB,1,13,6,19,1
193,safe_upgrade,0,0,A,AA,A→AA,1,2,0,2,1
194,safe_upgrade,0,0,B,BB,B→BB,1,2,0,2,1
195,safe_upgrade,0,0,BB,BBB,BB→BBB,1,20,1,21,1
196,safe_upgrade,0,0,BB,BBB,BB→BBB,1,0,0,0,0
197,safe_upgrade,0,0,BBB,A,BBB→A,1,0,0,0,0
198,safe_upgrade,0,0,BB,BBB,BB→BBB,1,0,0,0,0
199,safe_upgrade,0,0,BB,BBB,BB→BBB,1,1,0,1,1
201,safe_upgrade,0,0,BB,BBB,BB→BBB,1,12,3,15,1
204,safe_upgrade,0,0,B,BB,B→BB,1,14,5,19,1
205,safe_upgrade,0,0,CCC,B,CCC→B,1,34,6,40,1
206,safe_upgrade,0,0,B,BB,B→BB,1,7,0,7,1
207,safe_upgrade,0,0,CCC,B,CCC→B,1,4,0,4,1
208,safe_upgrade,0,0,CCC,B,CCC→B,1,17,4,21,1
209,safe_upgrade,0,0,BBB,A,BBB→A,1,8,0,8,1
210,safe_upgrade,0,0,BB,BBB,BB→BBB,1,26,1,27,1
212,safe_upgrade,0,0,BBB,A,BBB→A,1,1,0,1,1
213,safe_upgrade,0,0,B,BB,B→BB,1,1,0,1,1
214,safe_upgrade,0,0,B,BB,B→BB,1,2,0,2,1
216,safe_upgrade,0,0,CCC,B,CCC→B,1,19,16,35,1
218,safe_upgrade,0,0,B,BB,B→BB,1,15,6,21,1
219,safe_upgrade,0,0,CCC,B,CCC→B,1,33,7,40,1
220,safe_upgrade,0,0,B,BB,B→BB,1,1,0,1,1
221,safe_upgrade,0,0,A,AA,A→AA,1,1,0,1,1
223,safe_upgrade,0,0,BB,BBB,BB→BBB,1,8,2,10,1
224,safe_upgrade,0,0,BB,BBB,BB→BBB,1,31,12,43,1
225,safe_upgrade,0,0,B,BB,B→BB,1,18,15,33,1
226,safe_upgrade,0,0,BB,BBB,BB→BBB,1,0,0,0,0
228,safe_upgrade,0,0,B,BB,B→BB,1,5,0,5,1
229,safe_upgrade,0,0,A,AA,A→AA,1,1,0,1,1
230,safe_upgrade,0,0,BBB,A,BBB→A,1,8,0,8,1
231,safe_upgrade,0,0,B,BB,B→BB,1,9,0,9,1
232,safe_upgrade,0,0,B,BB,B→BB,1,11,0,11,1
234,safe_upgrade,0,0,B,BB,B→BB,1,8,0,8,1
235,safe_upgrade,0,0,CCC,B,CCC→B,1,12,3,15,1
236,safe_upgrade,0,0,BB,BBB,BB→BBB,1,0,0,0,0
237,safe_upgrade,0,0,CCC,B,CCC→B,1,19,15,34,1
239,safe_upgrade,0,0,B,BB,B→BB,1,21,10,31,1
240,safe_upgrade,0,0,B,BB,B→BB,1,5,0,5,1
241,safe_upgrade,0,0,CCC,B,CCC→B,1,12,0,12,1
242,safe_upgrade,0,0,CCC,B,CCC→B,1,11,4,15,1
244,safe_upgrade,0,0,BB,BBB,BB→BBB,1,2,0,2,1
245,safe_upgrade,0,0,B,BB,B→BB,1,5,0,5,1
246,safe_upgrade,0,0,CCC,B,CCC→B,1,39,12,51,1
248,safe_upgrade,0,0,BBB,A,BBB→A,1,0,0,0,0
249,safe_upgrade,0,0,B,BB,B→BB,1,1,0,1,1
250,safe_upgrade,0,0,B,BB,B→BB,1,10,2,12,1
251,safe_upgrade,0,0,BBB,A,BBB→A,1,10,0,10,1
252,safe_upgrade,0,0,BB,BBB,BB→BBB,1,5,3,8,1
254,safe_upgrade,0,0,BBB,A,BBB→A,1,0,0,0,0
255,safe_upgrade,0,0,BBB,A,BBB→A,1,3,0,3,1
256,safe_upgrade,0,0,BB,BBB,BB→BBB,1,1,0,1,1
257,safe_upgrade,0,0,B,BB,B→BB,1,3,0,3,1
259,safe_upgrade,0,0,B,BB,B→BB,1,1,0,1,1
262,safe_upgrade,0,0,BB,BBB,BB→BBB,1,3,0,3,1
263,safe_upgrade,0,0,BB,BBB,BB→BBB,1,6,0,6,1
264,safe_upgrade,0,0,B,BB,B→BB,1,2,0,2,1
265,safe_upgrade,0,0,B,BB,B→BB,1,9,1,10,1
266,safe_upgrade,0,0,B,BB,B→BB,1,5,0,5,1
267,safe_upgrade,0,0,B,BB,B→BB,1,14,4,18,1
268,safe_upgrade,0,0,BB,BBB,BB→BBB,1,10,0,10,1
269,safe_upgrade,0,0,B,BB,B→BB,1,6,0,6,1
270,safe_upgrade,0,0,BB,BBB,BB→BBB,1,4,0,4,1
271,safe_upgrade,0,0,BBB,A,BBB→A,1,3,0,3,1
272,safe_upgrade,0,0,B,BB,B→BB,1,13,6,19,1
273,safe_upgrade,0,0,BB,BBB,BB→BBB,1,2,0,2,1
274,safe_upgrade,0,0,BB,BBB,BB→BBB,1,5,0,5,1
275,safe_upgrade,0,0,BB,BBB,BB→BBB,1,11,2,13,1
276,safe_upgrade,0,0,B,BB,B→BB,1,1,0,1,1
277,safe_upgrade,0,0,B,BB,B→BB,1,3,0,3,1
278,safe_upgrade,0,0,CCC,B,CCC→B,1,18,16,34,1
279,safe_upgrade,0,0,B,BB,B→BB,1,3,0,3,1
280,safe_upgrade,0,0,BB,BBB,BB→BBB,1,4,0,4,1
281,safe_upgrade,0,0,BBB,A,BBB→A,1,5,0,5,1
282,safe_upgrade,0,0,BBB,A,BBB→A,1,5,0,5,1
283,safe_upgrade,0,0,B,BB,B→BB,1,5,0,5,1
284,safe_upgrade,0,0,CCC,B,CCC→B,1,37,3,40,1
285,safe_upgrade,0,0,B,BB,B→BB,1,0,0,0,0
286,safe_upgrade,0,0,CCC,B,CCC→B,1,40,16,56,1
287,safe_upgrade,0,0,A,AA,A→AA,1,2,0,2,1
288,safe_upgrade,0,0,A,AA,A→AA,1,2,0,2,1
289,safe_upgrade,0,0,BBB,A,BBB→A,1,7,0,7,1
290,safe_upgrade,0,0,BBB,A,BBB→A,1,2,0,2,1
291,safe_upgrade,0,0,B,BB,B→BB,1,2,0,2,1
292,safe_upgrade,0,0,B,BB,B→BB,1,27,1,28,1
294,safe_upgrade,0,0,BB,BBB,BB→BBB,1,15,5,20,1
295,safe_upgrade,0,0,B,BB,B→BB,1,3,0,3,1
296,safe_upgrade,0,0,B,BB,B→BB,1,0,0,0,0
300,safe_upgrade,0,0,BBB,A,BBB→A,1,6,0,6,1
301,safe_upgrade,0,0,B,BB,B→BB,1,6,1,7,1
302,safe_upgrade,0,0,BBB,A,BBB→A,1,3,1,4,1
303,safe_upgrade,0,0,BBB,A,BBB→A,1,0,0,0,0
304,safe_upgrade,0,0,CCC,B,CCC→B,1,13,0,13,1
306,safe_upgrade,0,0,BB,BBB,BB→BBB,1,6,0,6,1
307,safe_upgrade,0,0,B,BB,B→BB,1,9,2,11,1
308,safe_upgrade,0,0,B,BB,B→BB,1,19,4,23,1
309,safe_upgrade,0,0,B,BB,B→BB,1,18,0,18,1
310,safe_upgrade,0,0,B,BB,B→BB,1,2,0,2,1
311,safe_upgrade,0,0,BBB,A,BBB→A,1,1,0,1,1
312,safe_upgrade,0,0,BB,BBB,BB→BBB,1,0,0,0,0
313,safe_upgrade,0,0,CCC,B,CCC→B,1,2,0,2,1
315,safe_upgrade,0,0,B,BB,B→BB,1,22,2,24,1
316,safe_upgrade,0,0,BBB,A,BBB→A,1,3,0,3,1
317,safe_upgrade,0,0,CCC,B,CCC→B,1,2,1,3,1
319,safe_upgrade,0,0,BB,BBB,BB→BBB,1,0,0,0,0
322,safe_upgrade,0,0,BB,BBB,BB→BBB,1,1,0,1,1
323,safe_upgrade,0,0,CCC,B,CCC→B,1,37,6,43,1
324,safe_upgrade,0,0,CCC,B,CCC→B,1,4,0,4,1
325,safe_upgrade,0,0,BBB,A,BBB→A,1,2,0,2,1
327,safe_upgrade,0,0,B,BB,B→BB,1,16,8,24,1
328,safe_upgrade,0,0,BB,BBB,BB→BBB,1,5,1,6,1
330,safe_upgrade,0,0,BB,BBB,BB→BBB,1,1,0,1,1
331,safe_upgrade,0,0,B,BB,B→BB,1,7,1,8,1
332,safe_upgrade,0,0,CCC,B,CCC→B,1,34,16,50,1
333,safe_upgrade,0,0,BBB,A,BBB→A,1,1,0,1,1
335,safe_upgrade,0,0,BB,BBB,BB→BBB,1,6,0,6,1
336,safe_upgrade,0,0,B,BB,B→BB,1,3,0,3,1
337,safe_upgrade,0,0,B,BB,B→BB,1,2,0,2,1
338,safe_upgrade,0,0,B,BB,B→BB,1,3,0,3,1
340,safe_upgrade,0,0,BBB,A,BBB→A,1,0,0,0,0
341,safe_upgrade,0,0,BBB,A,BBB→A,1,0,0,0,0
342,safe_upgrade,0,0,CCC,B,CCC→B,1,23,13,36,1
343,safe_upgrade,0,0,CCC,B,CCC→B,1,9,0,9,1
346,safe_upgrade,0,0,B,BB,B→BB,1,2,0,2,1
347,safe_upgrade,0,0,BB,BBB,BB→BBB,1,8,1,9,1
349,safe_upgrade,0,0,BBB,A,BBB→A,1,2,0,2,1
351,safe_upgrade,0,0,CCC,B,CCC→B,1,18,15,33,1
352,safe_upgrade,0,0,CCC,B,CCC→B,1,37,12,49,1
353,safe_upgrade,0,0,B,BB,B→BB,1,16,10,26,1
354,safe_upgrade,0,0,BB,BBB,BB→BBB,1,1,0,1,1
355,safe_upgrade,0,0,B,BB,B→BB,1,15,6,21,1
356,safe_upgrade,0,0,A,AA,A→AA,1,2,0,2,1
357,safe_upgrade,0,0,BB,BBB,BB→BBB,1,0,0,0,0
358,safe_upgrade,0,0,BB,BBB,BB→BBB,1,1,0,1,1
361,safe_upgrade,0,0,BBB,A,BBB→A,1,23,1,24,1
362,safe_upgrade,0,0,B,BB,B→BB,1,22,1,23,1
363,safe_upgrade,0,0,CCC,B,CCC→B,1,1,0,1,1
364,safe_upgrade,0,0,B,BB,B→BB,1,8,0,8,1
365,safe_upgrade,0,0,BBB,A,BBB→A,1,0,0,0,0
366,safe_upgrade,0,0,A,AA,A→AA,1,2,0,2,1
368,safe_upgrade,0,0,BBB,A,BBB→A,1,18,10,28,1
369,safe_upgrade,0,0,CCC,B,CCC→B,1,28,1,29,1
370,safe_upgrade,0,0,BB,BBB,BB→BBB,1,26,1,27,1
372,safe_upgrade,0,0,CCC,B,CCC→B,1,20,15,35,1
373,safe_upgrade,0,0,CCC,B,CCC→B,1,40,16,56,1
374,safe_upgrade,0,0,B,BB,B→BB,1,3,0,3,1
375,safe_upgrade,0,0,BBB,A,BBB→A,1,1,0,1,1
376,safe_upgrade,0,0,BBB,A,BBB→A,1,2,0,2,1
377,safe_upgrade,0,0,B,BB,B→BB,1,26,3,29,1
378,safe_upgrade,0,0,B,BB,B→BB,1,5,0,5,1
379,safe_upgrade,0,0,B,BB,B→BB,1,10,3,13,1
380,safe_upgrade,0,0,A,AA,A→AA,1,2,0,2,1
382,safe_upgrade,0,0,BB,BBB,BB→BBB,1,2,0,2,1
383,safe_upgrade,0,0,B,BB,B→BB,1,4,0,4,1
384,safe_upgrade,0,0,B,BB,B→BB,1,19,12,31,1
385,safe_upgrade,0,0,A,AA,A→AA,1,1,0,1,1
386,safe_upgrade,0,0,CCC,B,CCC→B,1,19,15,34,1
387,safe_upgrade,0,0,BBB,A,BBB→A,1,10,0,10,1
388,safe_upgrade,0,0,CCC,B,CCC→B,1,16,10,26,1
390,safe_upgrade,0,0,CCC,B,CCC→B,1,7,1,8,1
391,safe_upgrade,0,0,B,BB,B→BB,1,28,2,30,1
392,safe_upgrade,0,0,A,AA,A→AA,1,1,0,1,1
393,safe_upgrade,0,0,BBB,A,BBB→A,1,5,0,5,1
394,safe_upgrade,0,0,BB,BBB,BB→BBB,1,10,5,15,1
395,safe_upgrade,0,0,BBB,A,BBB→A,1,0,0,0,0
396,safe_upgrade,0,0,B,BB,B→BB,1,22,1,23,1
397,safe_upgrade,0,0,B,BB,B→BB,1,8,0,8,1
399,safe_upgrade,0,0,BBB,A,BBB→A,1,28,1,29,1
400,safe_upgrade,0,0,BBB,A,BBB→A,1,21,3,24,1
401,safe_upgrade,0,0,B,BB,B→BB,1,13,2,15,1
402,safe_upgrade,0,0,CCC,B,CCC→B,1,38,14,52,1
403,safe_upgrade,0,0,BBB,A,BBB→A,1,8,2,10,1
405,safe_upgrade,0,0,B,BB,B→BB,1,34,6,40,1
406,safe_upgrade,0,0,CCC,B,CCC→B,1,15,1,16,1
407,safe_upgrade,0,0,B,BB,B→BB,1,5,0,5,1
408,safe_upgrade,0,0,BB,BBB,BB→BBB,1,0,0,0,0
411,safe_upgrade,0,0,BB,BBB,BB→BBB,1,2,0,2,1
412,safe_upgrade,0,0,B,BB,B→BB,1,33,3,36,1
413,safe_upgrade,0,0,BB,BBB,BB→BBB,1,11,6,17,1
414,safe_upgrade,0,0,BBB,A,BBB→A,1,0,0,0,0
415,safe_upgrade,0,0,CCC,B,CCC→B,1,39,11,50,1
416,safe_upgrade,0,0,CCC,B,CCC→B,1,11,4,15,1
417,safe_upgrade,0,0,BB,BBB,BB→BBB,1,2,0,2,1
418,safe_upgrade,0,0,BB,BBB,BB→BBB,1,2,0,2,1
419,safe_upgrade,0,0,BBB,A,BBB→A,1,4,0,4,1
420,safe_upgrade,0,0,BB,BBB,BB→BBB,1,1,0,1,1
421,safe_upgrade,0,0,CCC,B,CCC→B,1,13,6,19,1
422,safe_upgrade,0,0,BB,BBB,BB→BBB,1,28,1,29,1
423,safe_upgrade,0,0,BB,BBB,BB→BBB,1,26,1,27,1
424,safe_upgrade,0,0,CCC,B,CCC→B,1,14,2,16,1
425,safe_upgrade,0,0,BBB,A,BBB→A,1,6,1,7,1
426,safe_upgrade,0,0,CCC,B,CCC→B,1,32,4,36,1
427,safe_upgrade,0,0,CCC,B,CCC→B,1,4,0,4,1
429,safe_upgrade,0,0,CCC,B,CCC→B,1,15,7,22,1
430,safe_upgrade,0,0,CCC,B,CCC→B,1,9,1,10,1
431,safe_upgrade,0,0,A,AA,A→AA,1,0,0,0,0
432,safe_upgrade,0,0,B,BB,B→BB,1,3,0,3,1
433,safe_upgrade,0,0,BB,BBB,BB→BBB,1,1,0,1,1
435,safe_upgrade,0,0,CCC,B,CCC→B,1,27,1,28,1
436,safe_upgrade,0,0,BBB,A,BBB→A,1,25,1,26,1
437,safe_upgrade,0,0,B,BB,B→BB,1,8,0,8,1
438,safe_upgrade,0,0,BB,BBB,BB→BBB,1,8,0,8,1
439,safe_upgrade,0,0,B,BB,B→BB,1,18,11,29,1
441,safe_upgrade,0,0,BBB,A,BBB→A,1,9,5,14,1
442,safe_upgrade,0,0,B,BB,B→BB,1,5,0,5,1
443,safe_upgrade,0,0,CCC,B,CCC→B,1,27,11,38,1
444,safe_upgrade,0,0,A,AA,A→AA,1,0,0,0,0
445,safe_upgrade,0,0,B,BB,B→BB,1,1,0,1,1
446,safe_upgrade,0,0,B,BB,B→BB,1,7,0,7,1
447,safe_upgrade,0,0,CCC,B,CCC→B,1,28,1,29,1
448,safe_upgrade,0,0,BB,BBB,BB→BBB,1,8,1,9,1
449,safe_upgrade,0,0,CCC,B,CCC→B,1,3,0,3,1
450,safe_upgrade,0,0,CCC,B,CCC→B,1,35,16,51,1
451,safe_upgrade,0,0,BB,BBB,BB→BBB,1,3,0,3,1
452,safe_upgrade,0,0,BB,BBB,BB→BBB,1,0,0,0,0
453,safe_upgrade,0,0,BB,BBB,BB→BBB,1,2,1,3,1
454,safe_upgrade,0,0,BB,BBB,BB→BBB,1,8,2,10,1
455,safe_upgrade,0,0,BB,BBB,BB→BBB,1,3,0,3,1
456,safe_upgrade,0,0,BB,BBB,BB→BBB,1,18,7,25,1
457,safe_upgrade,0,0,A,AA,A→AA,1,4,0,4,1
458,safe_upgrade,0,0,BBB,A,BBB→A,1,3,0,3,1
460,safe_upgrade,0,0,CCC,B,CCC→B,1,38,12,50,1
461,safe_upgrade,0,0,B,BB,B→BB,1,8,0,8,1
462,safe_upgrade,0,0,B,BB,B→BB,1,21,15,36,1
463,safe_upgrade,0,0,BBB,A,BBB→A,1,0,0,0,0
464,safe_upgrade,0,0,B,BB,B→BB,1,1,0,1,1
465,safe_upgrade,0,0,BBB,A,BBB→A,1,1,0,1,1
466,safe_upgrade,0,0,CCC,B,CCC→B,1,5,1,6,1
468,safe_upgrade,0,0,CCC,B,CCC→B,1,10,0,10,1
469,safe_upgrade,0,0,BB,BBB,BB→BBB,1,16,6,22,1
